Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
A200:1,,,,R601A,0
A200:2,,,,R601B,0
A200:3,,,,R604A,0
A200:4,,,,R604B,0
A200:5,,,,R606A,0
A200:6,,,,R606B,0
A200:7,,,,R607A,0
A200:8,,,,R607B,0
A201:1,,,,R607C,0
A201:2,,,,R608A,0
A201:3,,,,R608B,0
A201:4,,,,R609XA,0
A201:5,,,,R609XB,0
A201:6,,,,R609XC,0
A201:7,,,,R610A,0
A201:8,,,,R610B,0
A202:1,,,,R612A,0
A202:2,,,,R612B,0
A202:3,,,,R612C,0
A202:4,,,,R614XA,0
A202:5,,,,R614XB,0
A202:6,,,,,0
A202:7,,,,,0
A202:8,,,,R649A(M),0
A203:1,,,,R649B(M),0
A203:2,,,,R649C(M),0
A203:3,,,,R658A(S),0
A203:4,,,,R658B(M),0
A203:5,,,,R658C(M),0
A203:6,,,,R659A(M),0
A203:7,,,,R659B,0
A203:8,,,,R659C,0
A204:1,,,,R659D(M),0
A204:2,,,,R659E(M),0
A204:3,,,,R659F(M),0
A204:4,,,,R659G(M),0
A204:5,,,,R660A(S),0
A204:6,,,,R660B(M),0
A204:7,,,,R660C(M),0
A204:8,,,,R661A(M),0
A205:1,,,,R661B(M),0
A205:2,,,,R661C(M),0
A205:3,,,,R661D(M),0
A205:4,,,,R661E(M),0
A205:5,,,,R664A(M),0
A205:6,,,,R664B(M),0
A205:7,,,,R664C(M),0
A205:8,,,,R664D(M),0
A206:1,,,,R664E(M),0
A206:2,,,,R666A(M),0
A206:3,,,,R666B,0
A206:4,,,,R666C(M),0
A206:5,,,,R666D,0
A206:6,,,,R666E(M),0
A206:7,,,,R668A(M),0
A206:8,,,,R668B(M),0
A207:1,,,,R668C(M),0
A207:2,,,,R668D(M),0
A207:3,,,,R677AA,0
A207:4,,,,R677BB,0
A207:5,,,,R677C(M),0
A207:6,,,,R677D(S),0
A207:7,,,,R679AA,0
A207:8,,,,R679BB,0
A208:1,,,,R679C(M),0
A208:2,,,,R679D(S),0
A208:3,,,,R680A(M),0
A208:4,,,,R680B(M),0
A208:5,,,,R681A(M),0
A208:6,,,,R681B(S),0
A208:7,,,,R681C(S),0
A208:8,,,,R681D(S),0
A209:1,,,,R780A,0
A209:2,,,,R780B,0
A209:3,,,,R782A,0
A209:4,,,,R782B,0
A209:5,,,,R787,0
A209:6,,,,R789,0
A209:7,,,,R892(M),0
A209:8,,,,,0
A20A:1,,,,,0
A20A:2,,,,,0
A20A:3,,,,,0
A20A:4,,,,R2121A,0
A20A:5,,,,R2121B,0
A20A:6,,,,R2121C,0
A20A:7,,,,R2123A,0
A20A:8,,,,R2123B,0
A20B:1,,,,R2130A,0
A20B:2,,,,R2130B,0
A20B:3,,,,R2132A,0
A20B:4,,,,R2132B,0
A20B:5,,,,R2134A,0
A20B:6,,,,R2134B,0
A20B:7,,,,R653A(M),0
A20B:8,,,,R653B,0
A20C:1,,,,R653C,0
A20C:2,,,,R653D(M),0
A20C:3,,,,R653E(M),0
A20C:4,,,,R653F,0
A20C:5,,,,R653G(M),0
A20C:6,,,,R655A(M),0
A20C:7,,,,R655B,0
A20C:8,,,,R655C,0
A20D:1,,,,R655D(M),0
A20D:2,,,,R655E(M),0
A20D:3,,,,R655F,0
A20D:4,,,,R655G(M),0
A20D:5,,,,R663A(M),0
A20D:6,,,,R663B(M),0
A20D:7,,,,R670A(M),0
A20D:8,,,,R670B(M),0
A20E:1,,,,R670C(M),0
A20E:2,,,,R670D(M),0
A20E:3,,,,R672A(M),0
A20E:4,,,,R672B(M),0
A20E:5,,,,R672C(M),0
A20E:6,,,,R672D(M),0
A20E:7,,,,R672E(M),0
A20E:8,,,,R672F(M),0
