Address,Description,Comment 1,Comment 2,Occurrences
CA00:1,CA0091,,CBG A PIIU,20316
CA00:2,CA0092,,,20410
CA00:3,CA0097,,,20300
CA00:4,CA0099,,,20295
CA00:5,CA0100,,,20402
CA00:6,CA0123,,,21255
CA00:7,CA0140,,,40677
CA00:8,CA0142,,,40752
CA01:1,CA0143,,,41436
CA01:2,CA0145,,,44407
CA01:3,CA0147 Main,,,6947
CA01:4,CA0147 Subs,,,934
CA01:5,CA0149 Main,,,34034
CA01:6,CA0149 Subs,,,2038
CA01:7,CA0150 Main,,,6075
CA01:8,CA0150 Subs,,,481
CA02:1,CA0152 Main,,,6914
CA02:2,CA0152 Subs,,,851
CA02:3,CA0154 Main,,,9748
CA02:4,CA0154 Subs,,,13
CA02:5,CA0156 Main,,,5499
CA02:6,CA0156 Subs,,,341
CA02:7,CA0158 Main,,,6393
CA02:8,CA0158 Subs,,,101
CA03:1,CA0160 Main,,,6064
CA03:2,CA0160 Subs,,,185
CA03:3,CA0161 Main,,,15588
CA03:4,CA0161 Subs,,,35
CA03:5,CA0162 Main,,,4995
CA03:6,CA0162 Subs,,,40
CA03:7,CA0163 Main,,,2719
CA03:8,CA0163 Subs,,,53
CA04:1,CA0164 Main,,,5629
CA04:2,CA0164 Subs,,,3597
CA04:3,CA0175 Main,,,12055
CA04:4,CA0175 Subs,,,2242
CA04:5,CA0177 Main,,,660
CA04:6,CA0177 Subs,,,2650
CA04:7,CA0179 Main,,,275
CA04:8,CA0179 Subs,,,2135
CA05:1,CA0181 Main,,,339
CA05:2,CA0181 Subs,,,3139
CA05:3,CA640LOSECK,,,7
CA05:4,CA642LOSECK,,,7
CA05:5,CA0647,,,293
CA05:6,CA0653,,,6020
CA05:7,CA0655,,,24543
CA05:8,CA0659,,,5210
CA06:1,CA0678,,,600
CA06:2,CA0680,,,360
CA06:3,Unused,,,0
CA06:4,CA0707,,,394
CA06:5,CA0709,,,197
CA06:6,CA0095,,,20288
CA06:7,CA0096,,,20396
CA06:8,Unused,,,0
CA07:1,Unused,,,0
CA07:2,CA0091 Red,,,20329
CA07:3,CA0092 Red,,,20429
CA07:4,CA0097 Red,,,20300
CA07:5,CA0099 Red,,,20303
CA07:6,CA0100 Red,,,20393
CA07:7,CA0123 Red,,,21246
CA07:8,CA0140 Red,,,40660
CA08:1,CA0145 Red,,,44356
CA08:2,CA0147 Red,,,6950
CA08:3,CA0149 Red,,,34029
CA08:4,CA0150 Red,,,6081
CA08:5,CA0152 Red,,,6923
CA08:6,CA0154 Red,,,9758
CA08:7,CA0156 Red,,,5508
CA08:8,CA0158 Red,,,6403
CA09:1,CA0160 Red,,,6068
CA09:2,CA0161 Red,,,15594
CA09:3,CA0162 Red,,,5003
CA09:4,CA0163 Red,,,2728
CA09:5,CA0164 Red,,,5633
CA09:6,CA0175 Red,,,12066
CA09:7,CA0177 Red,,,669
CA09:8,CA0179 Red,,,282
CA0A:1,CA0181 Red,,,346
CA0A:2,CA0095 Red,,,20309
CA0A:3,CA0096 Red,,,20404
CA0A:4,CA0142 Red,,,40699
CA0A:5,CA0143 Red,,,41443
CA0A:6,CA0647 Red,,,299
CA0A:7,CA0653 Red,,,6031
CA0A:8,CA0655 Red,,,24586
CA0B:1,Unused,,,0
CA0B:2,Unused,,,0
CA0B:3,Unused,,,0
CA0B:4,CA0659 Red,,,5195
CA0B:5,CA0678 Red,,,605
CA0B:6,CA0680 Red,,,366
CA0B:7,CA0707 Red,,,399
CA0B:8,CA0709 Red,,,203
CA0C:1,Unused,,,0
CA0C:2,Unused,,,0
CA0C:3,P1042N,,,14217
CA0C:4,P1042R,,,14223
CA0C:5,P1043N,,,17686
CA0C:6,P1043R,,,17662
CA0C:7,P1044N,,,16759
CA0C:8,P1044R,,,16742
CA0D:1,P1047N,,,5722
CA0D:2,P1047R,,,5697
CA0D:3,P1050N,,,2886
CA0D:4,P1050R,,,2865
CA0D:5,P1051N,,,12513
CA0D:6,P1051R,,,12502
CA0D:7,P1052N,,,12517
CA0D:8,P1052R,,,12467
CA0E:1,P1053N,,,10303
CA0E:2,P1053R,,,10334
CA0E:3,Unused,,,0
CA0E:4,Unused,,,0
CA0E:5,P1056N,,,8586
CA0E:6,P1056R,,,8581
CA0E:7,P1058N,,,12692
CA0E:8,P1058R,,,12692
CA0F:1,P1059N,,,8649
CA0F:2,P1059R,,,8633
CA0F:3,P1060N,,,8548
CA0F:4,P1060R,,,8557
CA0F:5,P1065N,,,1360
CA0F:6,P1065R,,,1340
CA0F:7,P1066N,,,389
CA0F:8,P1066R,,,384
CA10:1,P1068N,,,11332
CA10:2,P1068R,,,11309
CA10:3,P1069N,,,6564
CA10:4,P1069R,,,6551
CA10:5,P1077N,,,4137
CA10:6,P1077R,,,4136
CA10:7,P1079N,,,470
CA10:8,P1079R,,,474
CA11:1,Unused,,,0
CA11:2,Unused,,,0
CA11:3,T5528,,,12275
CA11:4,T5529,,,9975
CA11:5,T5559,,,8535
