Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences,
CC00:1,R1091,S1091 to S1095,Interlocking 6 (Hythe),R1091,1681,TRUE
CC00:2,R1092A,S1092 to S1088,,R1092A,1567,TRUE
CC00:3,Unused,S1092 to S1080,,,0,FALSE
CC00:4,R1093,S1093 to S1095,,R1093,974,TRUE
CC00:5,R1094A,S1094 to S1092,,R1094A,1653,TRUE
CC00:6,R1094B,S1094 to S1103,,R1094B,622,TRUE
CC00:7,R1095A,S1095 to S1101,,R1095A,1018,TRUE
CC00:8,R1095B,S1095 to S1099,,R1095B,1674,TRUE
CC01:1,R1096,S1096 to S1094,,R1096,2257,TRUE
CC01:2,R1099,S1099 to S1096,,R1099,2258,TRUE
CC01:3,R1100A,S1100 to S1088,,R1100A,968,TRUE
CC01:4,Unused,S1100 to S1080,,,0,FALSE
CC01:5,R1101,S1101 to S1105,,R1101,970,TRUE
CC01:6,R1102A,S1102 to S1099,,R1102A,596,TRUE
CC01:7,R1102B,S1102 to S1100,,R1102B,978,TRUE
CC01:8,R1103,S1103 to S1105,,R1103,626,TRUE
CC02:1,R1104,S1104 to S1102,,R1104,1600,TRUE
CC02:2,R1105,S1105 to S1109,,R1105,1624,TRUE
CC02:3,R1111,S1111 to S1115,,R1111,15,TRUE
CC02:4,R1115,S1115 to S1121,,R1115,1578,TRUE
CC02:5,R1118,S1118 to S1114,,R1118,1600,TRUE
CC02:6,R1121,S1121 to S1125,,R1121,1582,TRUE
CC02:7,R1122,S1122 to S1118,,R1122,1616,TRUE
CC02:8,R1116,S1116 to S1114,,R1116,0,TRUE
CC03:1,R1117,S1117 to S1121,,R1117,0,TRUE
CC03:2,Unused,,,,0,FALSE
CC03:3,Unused,,,,0,FALSE
CC03:4,Unused,,,,0,FALSE
CC03:5,Unused,,,,0,FALSE
CC03:6,Unused,,,,0,FALSE
CC03:7,Unused,,,,0,FALSE
CC03:8,Unused,,,,0,FALSE
CC04:1,S1091,,,S1091,1682,TRUE
CC04:2,S1093,,,S1093,990,TRUE
CC04:3,S1095,,,S1095,2666,TRUE
CC04:4,S1101,,,S1101,1012,TRUE
CC04:5,S1103,,,S1103,626,TRUE
CC04:6,S1105,,,S1105,1626,TRUE
CC04:7,S1107,S1109R,,S1107,2,TRUE
CC04:8,S1109,,,S1109,1580,TRUE
CC05:1,S1111,,,S1111,1571,TRUE
CC05:2,Unused,,,,0,FALSE
CC05:3,S1113,S1115R,,S1113,1,TRUE
CC05:4,S1115,,,S1115,1570,TRUE
CC05:5,S1116,,,S1116,0,TRUE
CC05:6,S1119,S1121R,,S1119,1,TRUE
CC05:7,S1121,,,S1121,1576,TRUE
CC05:8,S1123,S1125R,,S1123,1,TRUE
CC06:1,S1100,,,S1100,970,TRUE
CC06:2,S1102,,,S1102,1572,TRUE
CC06:3,Unused,,,,0,FALSE
CC06:4,S1104,,,S1104,1580,TRUE
CC06:5,S1106,S1104R,,S1106,1,TRUE
CC06:6,S1110,,,S1110,1567,TRUE
CC06:7,S1112,S1110R,,S1112,1,TRUE
CC06:8,S1114,,,S1114,1575,TRUE
CC07:1,S1117,,,S1117,0,TRUE
CC07:2,S1118,,,S1118,1562,TRUE
CC07:3,S1120,S1118R,,S1120,2,TRUE
CC07:4,S1122,,,S1122,1562,TRUE
CC07:5,S1124,S1122R,,S1124,2,TRUE
CC07:6,S1099,,,S1099,2256,TRUE
CC07:7,S1092,,,S1092,1648,TRUE
CC07:8,S1094,,,S1094,2273,TRUE
CC08:1,S1096,,,S1096,2247,TRUE
CC08:2,Unused,,,,0,FALSE
CC08:3,Unused,,,,0,FALSE
CC08:4,Unused,,,,0,FALSE
CC08:5,Unused,,,,0,FALSE
CC08:6,Unused,,,,0,FALSE
CC08:7,Unused,,,,0,FALSE
CC08:8,Unused,,,,0,FALSE
CC09:1,P3060N,,,P3060N,866,TRUE
CC09:2,P3060R,,,P3060R,908,TRUE
CC09:3,P3061N,,,P3061N,120,TRUE
CC09:4,P3061R,,,P3061R,118,TRUE
CC09:5,P3064N,,,P3064N,1676,TRUE
CC09:6,P3064R,,,P3064R,1678,TRUE
CC09:7,P3065N,,,P3065N,793,TRUE
CC09:8,P3065R,,,P3065R,791,TRUE
CC0A:1,P3066N,,,P3066N,630,TRUE
CC0A:2,P3066R,,,P3066R,630,TRUE
CC0A:3,P3067N,,,P3067N,1087,TRUE
CC0A:4,P3067R,,,P3067R,1091,TRUE
CC0A:5,P3069N,,,P3069N,2264,TRUE
CC0A:6,P3069R,,,P3069R,2264,TRUE
CC0A:7,P3070N,,,P3070N,626,TRUE
CC0A:8,P3070R,,,P3070R,626,TRUE
CC0B:1,P3071N,,,P3071N,691,TRUE
CC0B:2,P3071R,,,P3071R,686,TRUE
CC0B:3,P3078N,,,P3078N,1,TRUE
CC0B:4,P3078R,,,P3078R,0,TRUE
CC0B:5,Unused,,,,0,FALSE
CC0B:6,Unused,,,,0,FALSE
CC0B:7,Unused,,,,0,FALSE
CC0B:8,Unused,,,,0,FALSE
CC0C:1,Unused,,,,0,FALSE
CC0C:2,Unused,,,,0,FALSE
CC0C:3,Unused,,,,0,FALSE
CC0C:4,Unused,,,,0,FALSE
CC0C:5,Unused,,,,0,FALSE
CC0C:6,Unused,,,,0,FALSE
CC0C:7,Unused,,,,0,FALSE
CC0C:8,Unused,,,,0,FALSE
CC0D:1,R1125AM,,Interlocking 7 (Thorpe),R1125AM,1571,TRUE
CC0D:2,R1128AM,,,R1128AM,1578,TRUE
CC0D:3,R1137AM,,,R1137AM,735,TRUE
CC0D:4,R1137AC,,,R1137AC,0,TRUE
CC0D:5,R1137BM,,,R1137BM,900,TRUE
CC0D:6,R1137BC,,,R1137BC,0,TRUE
CC0D:7,R1139AS,,,R1139AS,2,TRUE
CC0D:8,R1139BS,,,R1139BS,2,TRUE
CC0E:1,R1142AS,,,R1142AS,0,TRUE
CC0E:2,R1143AS,,,R1143AS,0,TRUE
CC0E:3,R1143BS,,,R1143BS,0,TRUE
CC0E:4,R1144AM,,,R1144AM,1002,TRUE
CC0E:5,R1145AM,,,R1145AM,328,TRUE
CC0E:6,R1145BM,,,R1145BM,847,TRUE
CC0E:7,R1146AM,,,R1146AM,560,TRUE
CC0E:8,R1146BS,,,R1146BS,0,TRUE
CC0F:1,R1147AM,,,R1147AM,618,TRUE
CC0F:2,R1147BM,,,R1147BM,268,TRUE
CC0F:3,R1148AS,,,R1148AS,2,TRUE
CC0F:4,R1148BS,,,R1148BS,2,TRUE
CC0F:5,R1152AM,,,R1152AM,1010,TRUE
CC0F:6,R1152AW,,,R1152AW,8,TRUE
CC0F:7,R1152AC,,,R1152AC,0,TRUE
CC0F:8,R1152BM,,,R1152BM,72,TRUE
CC10:1,R1152BC,,,R1152BC,0,TRUE
CC10:2,R1154AM,,,R1154AM,32,TRUE
CC10:3,R1154AW,,,R1154AW,0,TRUE
CC10:4,R1154AC,,,R1154AC,0,TRUE
CC10:5,R1154BM,,,R1154BM,934,TRUE
CC10:6,R1154BC,,,R1154BC,0,TRUE
CC10:7,R1157AM,,,R1157AM,940,TRUE
CC10:8,R1158AM,,,R1158AM,950,TRUE
CC11:1,R1159AM,,,R1159AM,978,TRUE
CC11:2,R1160AM,,,R1160AM,934,TRUE
CC11:3,R1160BM,,,R1160BM,50,TRUE
CC11:4,R1164AM,,,R1164AM,940,TRUE
CC11:5,R1165AM,,,R1165AM,982,TRUE
CC11:6,R1168AM,,,R1168AM,938,TRUE
CC11:7,R1173AM,,,R1173AM,8,TRUE
CC11:8,Unused,,,,0,FALSE
CC12:1,S1125,,,S1125,1569,TRUE
CC12:2,S1128,,,S1128,1578,TRUE
CC12:3,S1127,,,S1127,1,TRUE
CC12:4,Unused,,,,0,FALSE
CC12:5,S1130,,,S1130,1,TRUE
CC12:6,Unused,,,,0,FALSE
CC12:7,S1133,,,S1133,1637,TRUE
CC12:8,S1134,,,S1134,1609,TRUE
CC13:1,S1135,,,S1135,1,TRUE
CC13:2,S1136,,,S1136,1595,TRUE
CC13:3,S1137,,,S1137,1629,TRUE
CC13:4,S1138,,,S1138,1549,TRUE
CC13:5,S1139,,,S1139,4,TRUE
CC13:6,Unused,,,,0,FALSE
CC13:7,S1142,,,S1142,0,TRUE
CC13:8,S1143,,,S1143,0,TRUE
CC14:1,S1144,,,S1144,1002,TRUE
CC14:2,S1145,,,S1145,1169,TRUE
CC14:3,S1146,,,S1146,558,TRUE
CC14:4,S1147,,,S1147,928,TRUE
CC14:5,S1148,,,S1148,4,TRUE
CC14:6,Unused,,,,0,FALSE
CC14:7,S1152,,,S1152,1082,TRUE
CC14:8,S1154,,,S1154,968,TRUE
CC15:1,S1155,,,S1155,2,TRUE
CC15:2,S1156,,,S1156,2,TRUE
CC15:3,S1157,,,S1157,950,TRUE
CC15:4,S1158,,,S1158,988,TRUE
CC15:5,S1159,,,S1159,986,TRUE
CC15:6,S1160,,,S1160,1004,TRUE
CC15:7,Unused,,,,0,FALSE
CC15:8,S1162,,,S1162,2,TRUE
CC16:1,S1163,,,S1161,2,FALSE
CC16:2,S1164,,,S1164,938,TRUE
CC16:3,S1165,,,S1165,938,TRUE
CC16:4,S1166,,,S1166,2,TRUE
CC16:5,S1167,,,S1167,2,TRUE
CC16:6,S1168,,,S1168,938,TRUE
CC16:7,Unused,,,,0,FALSE
CC16:8,S1173,,,S1173,1090,TRUE
CC17:1,Unused,,,,0,FALSE
CC17:2,Unused,,,,0,FALSE
CC17:3,Unused,,,,0,FALSE
CC17:4,Unused,,,,0,FALSE
CC17:5,Unused,,,,0,FALSE
CC17:6,Unused,,,,0,FALSE
CC17:7,Unused,,,,0,FALSE
CC17:8,Unused,,,,0,FALSE
CC18:1,P3080N,,,P3080N,889,TRUE
CC18:2,P3080R,,,P3080R,846,TRUE
CC18:3,P3081N,,,P3081N,1119,TRUE
CC18:4,P3081R,,,P3081R,1126,TRUE
CC18:5,P3082N,,,P3082N,1,TRUE
CC18:6,P3082R,,,P3082R,0,TRUE
CC18:7,P3084N,,,P3084N,1297,TRUE
CC18:8,P3084R,,,P3084R,1260,TRUE
CC19:1,P3085N,,,P3085N,75,TRUE
CC19:2,P3085R,,,P3085R,74,TRUE
CC19:3,P3086N,,,P3086N,991,TRUE
CC19:4,P3086R,,,P3086R,984,TRUE
CC19:5,P3088N,,,P3088N,983,TRUE
CC19:6,P3088R,,,P3088R,980,TRUE
CC19:7,P3089N,,,P3089N,942,TRUE
CC19:8,P3089R,,,P3089R,905,TRUE
CC1A:1,Unused,,,,0,FALSE
CC1A:2,Unused,,,,0,FALSE
CC1A:3,Unused,,,,0,FALSE
CC1A:4,Unused,,,,0,FALSE
CC1A:5,Unused,,,,0,FALSE
CC1A:6,Unused,,,,0,FALSE
CC1A:7,Unused,,,,0,FALSE
CC1A:8,Unused,,,,0,FALSE
CC1B:1,T6485,,,T6485,1699,TRUE
CC1B:2,T6495,,,T6495,1873,TRUE
CC1B:3,Unused,,,,0,FALSE
CC1B:4,Unused,,,,0,FALSE
CC1B:5,Unused,,,,0,FALSE
CC1B:6,Unused,,,,0,FALSE
CC1B:7,Unused,,,,0,FALSE
CC1B:8,Unused,,,,0,FALSE
CC1C:1,R1176AM,,Interlocking 8 (Clacton),R1176AM,1088,TRUE
CC1C:2,R1177AM,,,R1177AM,1089,TRUE
CC1C:3,Unused,,,,0,FALSE
