Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
EN00:1,R8019AM,,,R8019AM,483
EN00:2,R8024AM,,,R8024AM,315
EN00:3,R8011,Que?,R5011?,R8011,101
EN00:4,R5012,,,R5012,0
EN00:5,R5013,,,R5013,0
EN00:6,R8034AM,,,R8034AM,190
EN00:7,R8041AM,,,R8041AM,667
EN00:8,R8044AM,,,R8044AM,456
EN01:1,R5016,,,R5016,0
EN01:2,R5017,,,R5017,0
EN01:3,R8061AM,,,R8061AM,112
EN01:4,R8061AC,,,R8061AC,0
EN01:5,R8061BM,,,R8061BM,739
EN01:6,R8064AM,,,R8064AM,12
EN01:7,R8066AM,,,R8066AM,627
EN01:8,R8081AM,,,R8081AM,97
EN02:1,R8083AM,,,R8083AM,672
EN02:2,R8086AM,,,R8086AM,530
EN02:3,R8086BM,,,R8086BM,0
EN02:4,R8063AS,,,R8063AS,1
EN02:5,R8063BS,,,R8063BS,19
EN02:6,R8069AS,,,R8069AS,5
EN02:7,R8078AS,,,R8078AS,3
EN02:8,R8078BS,,,R8078BS,6
EN03:1,R8084AS,,,R8084AS,0
EN03:2,R8084BS,,,R8084BS,1
EN03:3,R5020,,,R5020,0
EN03:4,R5021,,,R5021,0
EN03:5,R8104AM,,,R8104AM,5
EN03:6,R8109AM,,,R8109AM,471
EN03:7,R8110AM,,,R8110AM,482
EN03:8,R8113AM,,,R8113AM,35
EN04:1,R8118AM,,,R8118AM,214
EN04:2,R8103AS,,,R8103AS,2
EN04:3,R8103BS,,,R8103BS,5
EN04:4,R8114AS,,,R8114AS,48
EN04:5,R5024,,,R5024,0
EN04:6,R5025,,,R5025,0
EN04:7,R8129AM,,,R8129AM,479
EN04:8,R8134AM,,,R8134AM,666
EN05:1,Unused,,,,0
EN05:2,Unused,,,,0
EN05:3,Unused,,,,0
EN05:4,EN8019,,,S8019IND,12682
EN05:5,EN8024,,,S8024IND,12247
EN05:6,Unused,,,,0
EN05:7,S8011,Que?,,S8011,12864
EN05:8,EN8034,,,S8034IND,12378
EN06:1,Unused,,,,0
EN06:2,Unused,,,,0
EN06:3,EN8041,,,S8041IND,12668
EN06:4,EN8044,,,S8044IND,12253
EN06:5,Unused,,,,0
EN06:6,Unused,,,,0
EN06:7,EN8061,,,S8061IND,12622
EN06:8,EN8064,,,S8064IND,10
EN07:1,EN8066,,,S8066IND,12260
EN07:2,EN8081,,,S8061IND,88
EN07:3,EN8083,,,S8083IND,12934
EN07:4,EN8086,,,S8086IND,12595
EN07:5,Unused,,,,0
EN07:6,EN8063,,,S8063IND,20
EN07:7,EN8069,,,S8069IND,4
EN07:8,EN8078,,,S8078IND,8
EN08:1,EN8084,,,S8084IND,1
EN08:2,Unused,,,,0
EN08:3,EN8104,,,S8104IND,5
EN08:4,EN8109,,,S8109IND,12880
EN08:5,EN8110,,,S8110IND,12615
EN08:6,EN8113,,,S8113IND,35
EN08:7,EN8118,,,S8118IND,12436
EN08:8,Unused,,,,0
EN09:1,EN8103,,,S8103IND,6
EN09:2,EN8114,,,S8114IND,47
EN09:3,Unused,,,,0
EN09:4,EN8129,,,S8129IND,12707
EN09:5,EN8134,,,S8134IND,12261
EN09:6,Unused,,,,0
EN09:7,Unused,,,,0
EN09:8,TABZ,,,TABZ,12761
EN0A:1,TACM,,,TACM,12727
EN0A:2,TADC,,,TADC,12771
EN0A:3,TALB,,,TALB,176
EN0A:4,TALC,,,TALC,139
EN0A:5,TAWH,,,TAWH,12357
EN0A:6,TAWK,,,TAWK,12350
EN0A:7,Unused,,,,0
EN0A:8,TAWM,,,TAWM,12336
EN0B:1,TAYG,,,TAYG,12346
EN0B:2,TTB/-/TD,,,TTB/-/TD,12713
EN0B:3,Unused,,,,0
EN0B:4,Unused,,,,0
EN0B:5,LSGSHIP,,,LSG(SHIP),0
EN0B:6,LSGLAKE,,,LSG(LAKE),0
EN0B:7,LSGBRAN,,,LSG(BRAN),0
EN0B:8,LSGTHET,,,LSG(THET),0
EN0C:1,LSGHARL,,,LSG(HARL),0
EN0C:2,Shippea Hill MCB-OD Raised,,,L(SH)X(UP)K,23383
EN0C:3,Shippea Hill MCB-OD Down,,,L(SH)X(DN)K,23339
EN0C:4,Shippea Hill MCB-OD Status,,,L(SH)(LCU)K,39
EN0C:5,Lakenham MCB-OD Raised,,,L(LH)X(UP)K,22881
EN0C:6,Lakenham MCB-OD Down,,,L(LH)X(DN)K,22844
EN0C:7,Lakenham MCB-OD Status,,,L(LH)(LCU)K,48
EN0C:8,Brandon MCB-OD Raised,,,L(BR)X(UP)K,23104
EN0D:1,Brandon MCB-OD Down,,,L(BR)X(DN)K,23063
EN0D:2,Brandon MCB-OD Status,,,L(BR)(LCU)K,71
EN0D:3,Unused,,,,0
EN0D:4,Unused,,,,0
EN0D:5,Unused,,,,0
EN0D:6,Chivers AHB-X Raised,,,L(CH)X(UP)K,23446
EN0D:7,Chivers AHB-X Working,,,L(CH)X(WK)K,23683
EN0D:8,Santon AHB-X Raised,,,L(SA)X(UP)K,24383
EN0E:1,Santon AHB-X Working,,,L(SA)X(WK)K,24360
EN0E:2,Two Mile Bottom AHB-X R/G Raised,,,L(TM)X(UP)K,24823
EN0E:3,Two Mile Bottom AHB-X R/G Working,,,L(TM)X(WK)K,24809
EN0E:4,Croxton ABH-X Raised,,,L(CR)X(UP)K,24643
EN0E:5,Croxton AHB-X Working,,,L(CR)X(WK)K,24673
