Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
K200:1,WL1923,,,SWL1923OFF,21683
K200:2,WL1925,,,SWL1925OFF,21745
K200:3,WL1927,,,SWL1927OFF,22
K200:4,WL1929,,,SWL1929OFF,108
K200:5,WL1931,,,SWL1931OFF,510
K200:6,WL1932,,,SWL1932OFF,21254
K200:7,WL1933,,,SWL1933OFF,466
K200:8,WL1934,,,SWL1934OFF,21768
K201:1,WL1935,,,SWL1935OFF,14
K201:2,WL1938,,,SWL1938OFF,14662
K201:3,WL1939,,,SWL1939OFF,528
K201:4,WL1940,,,SWL1940OFF,842
K201:5,WL1941,,,SWL1941OFF,11872
K201:6,WL1942,,,SWL1942OFF,7780
K201:7,WL1943,,,SWL1943OFF,72
K201:8,Unused,,,,0
K202:1,WL1944,,,SWL1944OFF,11894
K202:2,WL1945,,,SWL1945OFF,11920
K202:3,WL1946,,,SWL1946OFF,56
K202:4,WL1947,,,SWL1947OFF,72
K202:5,WL1948,,,SWL1948OFF,11786
K202:6,WL1950,,,SWL1950OFF,20
K202:7,WL1951,,,SWL1951OFF,368
K202:8,WL1952,,,SWL1952OFF,11941
K203:1,WL1955,,,SWL1955OFF,0
K203:2,WL1956,,,SWL1956OFF,11992
K203:3,WL1959,,,SWL1959OFF,368
K203:4,WL1960,,,SWL1960OFF,12046
K203:5,WL1963,,,SWL1963OFF,370
K203:6,WL1964,,,SWL1964OFF,12060
K203:7,WL1965,,,SWL1965OFF,11937
K203:8,WL1967,,,SWL1967OFF,374
K204:1,WL1968,,,SWL1968OFF,10422
K204:2,WL1969,,,SWL1969OFF,11912
K204:3,WL1970,,,SWL1970OFF,1544
K204:4,WL1971,,,SWL1971OFF,50
K204:5,WL1972,,,SWL1972OFF,7604
K204:6,WL1974,,,SWL1974OFF,4384
K204:7,WL1978,,,SWL1978OFF,0
K204:8,WL1980,,,SWL1980OFF,4362
K205:1,WL1949,,,SWL1949OFF,11713
K205:2,WL1953,,,SWL1953OFF,12261
K205:3,WL1957,,,SWL1957OFF,11905
K205:4,WL1961,,,SWL1961OFF,11685
K205:5,WL2202,,,SWL2202OFF,0
K205:6,WL2206,,,SWL2206OFF,0
K205:7,WL2212,,,SWL2212OFF,0
K205:8,WL2218,WL2208,,SWL2208OFF,0
K206:1,WL2224,,,SWL2224OFF,0
K206:2,WL2230,,,SWL2230OFF,0
K206:3,WL2236,,,SWL2236OFF,0
K206:4,WL2242,,,SWL2242OFF,0
K206:5,WL2248,,,SWL2248OFF,0
K206:6,WL2254,,,SWL2254OFF,0
K206:7,WL2260,,,SWL2260OFF,0
K206:8,WL2266,,,SWL2266OFF,0
K207:1,WL2272,,,SWL2272OFF,0
K207:2,WL2278,,,SWL2278OFF,0
K207:3,WL2284,,,SWL2284OFF,0
K207:4,Unused,,,,0
K207:5,Unused,,,,0
K207:6,Unused,,,,0
K207:7,Unused,,,,0
K207:8,Unused,,,,0
K208:1,K851,,,,24978
K208:2,K865 Main,,,,25168
K208:3,K870,,,K870DGK,21599
K208:4,K872,,,K872DGK,3370
K208:5,K874,,,K874DGK,21563
K208:6,K879,,,K879DGK,21645
K208:7,K882,,,K882DGK,21507
K208:8,Unused,,,,0
K209:1,Unused,,,,0
K209:2,Unused,,,,0
K209:3,K201,,,K201(OFF),24
K209:4,K202,,,K202(OFF),18
K209:5,K865 Subs,,,K865(OFF),42
K209:6,Unused,,,,0
K209:7,Unused,,,,0
K209:8,Unused,,,,0
K20A:1,K2317N,,,P2317N,3445
K20A:2,K2317R,,,P2317R,3438
K20A:3,K2318N,,,P2318N,85
K20A:4,K2318R,,,P2318R,90
K20A:5,K2320N,,,P2320N,4757
K20A:6,K2320R,,,P2320R,4770
K20A:7,Unused,,,,0
K20A:8,Unused,,,,0
K20B:1,WL1925 to R1942,,,R1925AM,6954
K20B:2,WL1925 to R1942,,,R1925AC,492
K20B:3,WL1925 to WL1941,,,R1925BM,9884
K20B:4,WL1925 to WL1941,,,R1925BC,0
K20B:5,WL1925 to WL1943,,,R1925CM,1860
K20B:6,WL1927 to R1942,,,R1927AM,2
K20B:7,WL1927 to R1942,,,R1927AC,2
K20B:8,WL1927 to WL1941,,,R1927BM,10
K20C:1,WL1927 to WL1941,,,R1927BC,0
K20C:2,WL1927 to WL1943,,,R1927CM,4
K20C:3,WL1938 to R1935,,,R1938AS,2
K20C:4,WL1938 to R1933,,,R1938BS,180
K20C:5,WL1938 to R1931,,,R1938CS,246
K20C:6,WL1938 to R1929,,,R1938DS,50
K20C:7,WL1938 to WL1934,,,R1938EM,10060
K20C:8,WL1940 to R1935,,,R1940AS,6
K20D:1,WL1940 to R1933,,,R1940BS,78
K20D:2,WL1940 to R1931,,,R1940CS,74
K20D:3,WL1940 to R1929,,,R1940DS,34
K20D:4,WL1940 to WL1934,,,R1940EM,654
K20D:5,WL1941 to WL1945,,,R1941AM,216
K20D:6,WL1942 to R1935,,,R1942AS,2
K20D:7,WL1942 to R1933,,,R1942BS,200
K20D:8,WL1942 to R1931,,,R1942CS,176
K20E:1,WL1942 to R1929,,,R1942DS,22
K20E:2,WL1942 to WL1934,,,R1942EM,6858
K20E:3,WL1942 to R1939,,,R1942FS,528
K20E:4,WL1943 to WL1947,,,R1943AM,68
K20E:5,WL1929 to R1942,,,R1929AS,16
K20E:6,WL1929 to WL1941,,,R1929BS,22
K20E:7,WL1929 to WL1943,,,R1929CS,70
K20E:8,WL1931 to R1942,,,R1931AS,20
K20F:1,WL1931 to WL1941,,,R1931BS,22
K20F:2,WL1931 to WL1943,,,R1931CS,466
K20F:3,WL1933 to R1942,,,R1933AS,16
K20F:4,WL1933 to WL1941,,,R1933BS,4
K20F:5,WL1933 to WL1943,,,R1933CS,442
K20F:6,WL1935 to R1942,,,R1935AS,2
K20F:7,WL1935 to WL1941,,,R1935BS,4
K20F:8,WL1935 to WL1943,,,R1935CS,4
K210:1,WL1939 to R1942,,,R1939AS,522
K210:2,WL1821 Lockout,,,R1821,0
K210:3,WL1822 Lockout,,,R1822,0
K210:4,Unused,,,,0
K210:5,Unused,,,,0
K210:6,Unused,,,,0
K210:7,Unused,,,,0
K210:8,Unused,,,,0
