Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
LS00:1,LS0071 to LS0081,DS,,R71AM,4460
LS00:2,LS0071 to LS0083,DM,,R71BM,10
LS00:3,LS0073 to LS0083,DM,,R73AM,2107
LS00:4,LS0075 to LS0083,DM,,R75AM,420
LS00:5,LS0075 to LS0085,DE,,R75BM,2454
LS00:6,LS0080 to LS0070,US,,R80AM,4470
LS00:7,LS0081 to LS0091,DS,,R81AM,4458
LS00:8,LS0082 to LS0070,US,,R82AM,62
LS01:1,LS0083 to LS0091,DS,,R83AM,26
LS01:2,LS0083 to LS0093,DM,WNR,R83BW,68
LS01:3,LS0083 to LS0093,DM,,R83BM,2369
LS01:4,LS0083 to LS0095,DE,WNR,R83CW,0
LS01:5,LS0083 to LS0095,DE,,R83CM,134
LS01:6,LS0084 to LS0074,UE,WNR,R84AW,8
LS01:7,LS0084 to LS0074,UE,,R84AM,26
LS01:8,LS0084 to LS0072,UM,,R84BM,2698
LS02:1,LS0085 to LS0095,DE,WNR,R85AW,0
LS02:2,LS0085 to LS0095,DE,,R85AM,2455
LS02:3,LS0086 to LS0074,UE,WNR,R86AW,28
LS02:4,LS0086 to LS0074,UE,,R86AM,2165
LS02:5,LS0090 to LS0084,UM,,R90AM,76
LS02:6,LS0090 to LS0080,US,,R90BM,4469
LS02:7,LS0091 to LS0101,DS,,R91AM,1627
LS02:8,LS0091 to LS0103,DF,,R91BM,2860
LS03:1,LS0092 to LS0084,UM,,R92AM,2499
LS03:2,LS0092 to LS0082,DM,,R92BM,42
LS03:3,LS0093 to LS0103,DF,,R93AM,126
LS03:4,LS0093 to LS0201,DM,,R93BM,2249
LS03:5,LS0094 to LS0086,UE,WNR,R94AW,30
LS03:6,LS0094 to LS0086,UE,,R94AM,2157
LS03:7,LS0094 to LS0084,UM,,R94BM,148
LS03:8,LS0094 to LS0082,DM,,R94CM,20
LS04:1,LS0095 to LS0201,DM,,R95AM,434
LS04:2,LS0095 to LS0203,DE,,R95BM,2155
LS04:3,LS0100 to LS0090,US,,R100AM,4541
LS04:4,LS0102 to LS0092,UM,,R102AM,48
LS04:5,LS0110 to LS0100,US,,R110AM,1441
LS04:6,LS0112 to LS0102,US,WNR,R112AW,4
LS04:7,LS0112 to LS0102,US,,R112AM,46
LS04:8,LS0112 to LS0100,UF,,R112BM,3096
LS05:1,LS0200 to LS0094,UE,,R200AM,92
LS05:2,LS0200 to LS0092,UM,,R200BM,2489
LS05:3,LS0202 to LS0094,UE,,R202AM,2237
LS05:4,LS0210 to LS0200,UM,WNR,R210AW,34
LS05:5,LS0210 to LS0200,UM,,R210AM,2557
LS05:6,LS1411 to LS1413,,,R1411,1216
LS05:7,LS1413 to LS1415,,,R1413,1214
LS05:8,LS1414 to LS1412,,,R1414,1188
LS06:1,LS1415 to LS1419,,,R1415,1213
LS06:2,LS1418 to LS1414,,,R1418,1184
LS06:3,LS1427 to LS1429,,,R1427,1218
LS06:4,LS1429 to LS1431,,,R1429,1212
LS06:5,LS1431 to LS1433,,,R1431,1212
LS06:6,LS1432 to LS1430,,,R1432,1184
LS06:7,LS1433 to LSCHAC,,,R1433AS,98
LS06:8,LS1433 to LSR444,,,R1433BM,290
LS07:1,LS1433 to LSR444,,C/O,R1433BC,32
LS07:2,LS1433 to LSR444,,,R1433BS,578
LS07:3,LS1433 to LSR446,,,R1433C1M,84
LS07:4,LS1433 to LSR446,,C/O,R1433C1C,0
LS07:5,LS1433 to LSR446,,,R1433C1S,0
LS07:6,LS1433 to LSR446,,,R1433C2M,0
LS07:7,LS1433 to LSR446,,C/O,R1433C2C,0
LS07:8,LS1433 to LSR446,,,R1433C2S,0
LS08:1,LS1433 to LSR448,,,R1433D1M,0
LS08:2,LS1433 to LSR448,,C/O,R1433D1C,0
LS08:3,LS1433 to LSR448,,,R1433D1S,0
LS08:4,LS1433 to LSR448,,,R1433D2M,114
LS08:5,LS1433 to LSR448,,C/O,R1433D2C,22
LS08:6,LS1433 to LSR448,,,R1433D2S,0
LS08:7,LS1438 to LS1434,,,R1438,1181
LS08:8,LS1440 to LS1438,,,R1440,1181
LS09:1,LS1442 to LS1440,,,R1442AM,86
LS09:2,LS1442 to LSCHAL,,,R1442BS,118
LS09:3,LS1444 to LS1440,,,R1444AM,326
LS09:4,LS1444 to LSCHAL,,,R1444BS,74
LS09:5,LS1446 to LS1440,,,R1446A1M,650
LS09:6,LS1446 to LS1440,,,R1446A2M,2
LS09:7,LS1446 to LSCHAL,,,R1446BS,54
LS09:8,LS1448 to LS1440,,,R1448AM,120
LS0A:1,LS1448 to LSCHAL,,,R1448BS,42
LS0A:2,LS5557 to LSCHAC,,,R5557A,0
LS0A:3,LS5557 to LSR444,,,R5557B,0
LS0A:4,LS5557 to LSR446,,,R5557C1,0
LS0A:5,LS5557 to LSR446,,,R5557C2,0
LS0A:6,LS5557 to LSR448,,,R5557D,0
LS0A:7,LS5561 to LSCHAC,,,R5561A,130
LS0A:8,LS5561 to LSR444,,,R5561B,68
LS0B:1,LS5561 to LSR446,,,R5561C,36
LS0B:2,LS5561 to LSR448,,,R5561D,42
LS0B:3,LS0033 to LS0035,DM,,R33AM,443
LS0B:4,LS0035 to LS0057,DM,,R35BM,444
LS0B:5,LS0037 to LS0039,DM,,R37BM,468
LS0B:6,LS0039 to LS0057,DM,,R39AM,470
LS0B:7,LS0041 to LS0057,DM,,R41AM,0
LS0B:8,LS0041 to LS0059,DE,,R41BM,472
LS0C:1,LS0043 to LS0057,DM,,R43AM,0
LS0C:2,LS0043 to LS0059,DE,,R43B1M,260
LS0C:3,LS0043 to LS0059,DE,,R43B2M,204
LS0C:4,LS0045 to LS0047,DE,,R45AM,266
LS0C:5,LS0047 to LS0059,DE,,R47AM,1561
LS0C:6,LS0049 to LS0047,15,,R49AM,636
LS0C:7,LS0049 to LS0059,DE,,R491BM,62
LS0C:8,LS0051 to LS0047,15,,R51AM,611
LS0D:1,LS0051 to LS0059,DE,,R51BM,98
LS0D:2,LS0053 to LS0059,DE,,R53AM,216
LS0D:3,LS0058 to LSR043,14,,R58AM,308
LS0D:4,LS0058 to LSR043,14,C/O,R58AC,50
LS0D:5,LS0058 to LSR041,13,,R58BM,382
LS0D:6,LS0058 to LSR041,13,C/O,R58BC,40
LS0D:7,LS0058 to LSR037,12,,R58CM,421
LS0D:8,LS0058 to LSR037,12,C/O,R58CC,46
LS0E:1,LS0058 to LSR033,11,,R58DM,422
LS0E:2,LS0058 to LSR033,11,C/O,R58DC,20
LS0E:3,LS0059 to LS0065,DE,,R59AM,2819
LS0E:4,LS0059 to LS0065,DE,WNR,R59AW,244
LS0E:5,LS0060 to LSR053,18,,R60AM,216
LS0E:6,LS0060 to LSR053,18,C/O,R60AC,0
LS0E:7,LS0060 to LSR051,17,,R60B1M,708
LS0E:8,LS0060 to LSR051,17,C/O,R60B1C,0
LS0F:1,LS0060 to LSR051,17,,R60B2M,0
LS0F:2,LS0060 to LSR051,17,C/O,R60B2C,0
LS0F:3,LS0060 to LSR049,16,,R60C1M,692
LS0F:4,LS0060 to LSR049,16,C/O,R60C1C,0
LS0F:5,LS0060 to LSR049,16,,R60C2M,0
LS0F:6,LS0060 to LSR049,16,C/O,R60C2C,0
LS0F:7,LS0060 to LSR045,15,,R60DM,308
LS0F:8,LS0060 to LSR045,15,C/O,R60DC,34
LS10:1,LS0060 to LSR043,14,,R60EM,108
LS10:2,LS0060 to LSR043,14,C/O,R60EC,18
LS10:3,LS0060 to LSR041,13,,R60FM,58
LS10:4,LS0060 to LSR041,13,C/O,R60FC,4
LS10:5,LS0065 to LS0075,DE,,R65AM,2869
