Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
NJ00:1,ACW28,to ACW29,,,262
NJ00:2,ACW28,to WY661,,,336
NJ00:3,ACW29,,,,282
NJ00:4,,,,,2
NJ00:5,ACW34,,,,280
NJ00:6,,,,,28
NJ00:7,,,,,12
NJ00:8,ACW21,,,,314
NJ01:1,,,,,0
NJ01:2,,,,,0
NJ01:3,,,,,0
NJ01:4,,,,,0
NJ01:5,,,,,0
NJ01:6,,,,,0
NJ01:7,,,,,0
NJ01:8,,,,,0
NJ02:1,,,,,106
NJ02:2,,,,,162
NJ02:3,,,,,114
NJ02:4,,,,,152
NJ02:5,,,,,268
NJ02:6,,,,,4
NJ02:7,,,,,4
NJ02:8,,,,,104
NJ03:1,,,,,0
NJ03:2,,,,,0
NJ03:3,,,,,0
NJ03:4,,,,,0
NJ03:5,,,,,0
NJ03:6,,,,,0
NJ03:7,,,,,0
NJ03:8,,,,,0
NJ04:1,,,,,20
NJ04:2,,,,,14
NJ04:3,,,,,28
NJ04:4,,,,,212
NJ04:5,,,,,14
NJ04:6,,,,,44
NJ04:7,,,,,0
NJ04:8,,,,,0
NJ05:1,,,,,0
NJ05:2,,,,,0
NJ05:3,,,,,0
NJ05:4,,,,,0
NJ05:5,,,,,0
NJ05:6,,,,,0
NJ05:7,,,,,0
NJ05:8,,,,,0
NJ06:1,,,,,0
NJ06:2,,,,,0
NJ06:3,,,,,0
NJ06:4,,,,,0
NJ06:5,,,,,0
NJ06:6,,,,,0
NJ06:7,,,,,0
NJ06:8,,,,,0
NJ07:1,,,,,0
NJ07:2,,,,,0
NJ07:3,,,,,0
NJ07:4,,,,,0
NJ07:5,,,,,0
NJ07:6,,,,,0
NJ07:7,,,,,0
NJ07:8,,,,,0
