Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
Q200:1,Q20713 to Q20715,DM,,R713AM,136
Q200:2,Q20713 to Q20717,UM,,R713BM,162
Q200:3,Q20715 to Q25186,SG,,R715AS,340
Q200:4,Q20715 to Q20723,DL,,R71523,3804
Q200:5,Q20715 to Q20725,DM,,R715CM,99254
Q200:6,Q20723 to Q20729,DM,,R723AM,1746
Q200:7,Q20723 to Q20737,UM,,R723BM,4
Q200:8,Q20725 to Q20729,DM,,R725AM,99210
Q201:1,Q20725 to Q20737,UM,,R725BM,312
Q201:2,Q20758 to Q20756,UM,,R758AM,3122
Q201:3,Q20758 to Q20736,DM,,R758BM,140
Q201:4,Q20762 to Q20758,DM,,R762AM,2072
Q201:5,Unused,,,,0
Q201:6,Q20770 to Q20764,DM,,R770AM,496
Q201:7,Q20770 to Q20762,DL,,R770BM,22
Q201:8,Q20772 to Q20766,UM,,R772AM,97887
Q202:1,Q20772 to Q20764,DM,,R772BM,660
Q202:2,Q20772 to Q20762,DL,,R772CM,132
Q202:3,Unused,,,,0
Q202:4,Q25185 to Q20723,,,R5185BS,0
Q202:5,Q25185 to Q2GYNE,,,R5186AS,312
Q202:6,Unused,,,,0
Q202:7,Q20629 to Q2DNSS,SG,,R629AS,272
Q202:8,Q20629 to Q2R668,1,,R629P1,5620
Q203:1,Q20629 to Q2R670,2,,R629P2,7880
Q203:2,Q20629 to Q2R672,3,,R629P3,19415
Q203:3,Q20629 to Q2R674,4,,R629P4,14143
Q203:4,Q20631 to Q2DNSS,DSG,,R631AS,14
Q203:5,Q20631 to Q2R668,1,,R631P1,22
Q203:6,Q20631 to Q2R670,2,,R631P2,18
Q203:7,Q20631 to Q2R672,3,,R631P3,66
Q203:8,Q20631 to Q2R674,4,,R631P4,74
Q204:1,Q20631 to Q2UPSS,USG,,R631FS,38
Q204:2,Q20666 to Q20664,US,,R666AM,1620
Q204:3,Q20666 to Q20652,DS,,R666BM,24
Q204:4,Q20666 to Q2DNSN,SG,,R666CS,1696
Q204:5,Q20668 to Q20664,US,,R668AM,4596
Q204:6,Q20668 to Q20652,DS,,R668BM,8
Q204:7,Q20668 to Q2DNSN,SG,,R668CS,3137
Q204:8,Q20670 to Q20664,US,,R670AM,6974
Q205:1,Q20670 to Q20652,DS,,R670BM,8
Q205:2,Q20670 to Q2DNSN,SG,,R670CS,3487
Q205:3,Q20672 to Q20664,US,,R672AM,20656
Q205:4,Q20672 to Q20652,DS,,R672BM,8
Q205:5,Q20672 to Q2DNSN,SG,,R672CS,3357
