Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
SE00:1,SE0713 to SE0715,DM,,R713AM,40
SE00:2,SE0713 to SE0717,UM,,R713BM,67
SE00:3,SE0715 to SE5186,SG,,R715AS,102
SE00:4,SE0715 to SE0723,DL,,R71523,1179
SE00:5,SE0715 to SE0725,DM,,R715CM,30305
SE00:6,SE0723 to SE0729,DM,,R723AM,555
SE00:7,SE0723 to SE0737,UM,,R723BM,2
SE00:8,SE0725 to SE0729,DM,,R725AM,30239
SE01:1,SE0725 to SE0737,UM,,R725BM,150
SE01:2,SE0758 to SE0756,UM,,R758AM,1078
SE01:3,SE0758 to SE0736,DM,,R758BM,39
SE01:4,SE0762 to SE0758,DM,,R762AM,627
SE01:5,-,,,,0
SE01:6,SE0770 to SE0764,DM,,R770AM,164
SE01:7,SE0770 to SE0762,DL,,R770BM,8
SE01:8,SE0772 to SE0766,UM,,R772AM,30043
SE02:1,SE0772 to SE0764,DM,,R772BM,65
SE02:2,SE0722 to SE0762,DL,,R772CM,54
SE02:3,-,,,,0
SE02:4,,,,R5185BS,0
SE02:5,,,,R5186AS,96
SE02:6,-,,,,0
SE02:7,SE0629 to SEDNSS,SG,,R629AS,99
SE02:8,SE0629 to SER668,1,,R629P1,1724
SE03:1,SE0629 to SER670,2,,R629P2,2411
SE03:2,SE0629 to SER672,3,,R629P3,5883
SE03:3,SE0629 to SER674,4,,R629P4,4283
SE03:4,SE0631 to SEDNSS,DSG,,R631AS,6
SE03:5,SE0631 to SER668,1,,R631P1,4
SE03:6,SE0631 to SER670,2,,R631P2,6
SE03:7,SE0631 to SER672,3,,R631P3,19
SE03:8,SE0631 to SER674,4,,R631P4,21
SE04:1,SE0631 to SEUPSS,USG,,R631FS,10
SE04:2,SE0666 to SE0664,US,,R666AM,551
SE04:3,SE0666 to SE0652,DS,,R666BM,9
SE04:4,SE0666 to SEDNSN,SG,,R666CS,508
SE04:5,SE0668 to SE0664,US,,R668AM,1429
SE04:6,SE0668 to SE0652,DS,,R668BM,2
SE04:7,SE0668 to SEDNSN,SG,,R668CS,961
SE04:8,SE0670 to SE0664,US,,R670AM,2148
SE05:1,SE0670 to SE0652,DS,,R670BM,3
SE05:2,SE0670 to SEDNSN,SG,,R670CS,1082
SE05:3,SE0672 to SE0664,US,,R672AM,6240
SE05:4,SE0672 to SE0652,DS,,R672BM,4
SE05:5,SE0672 to SEDNSN,SG,,R672CS,1090
SE05:6,SE0674 to SEUPSN,USG,,R674AS,503
SE05:7,SE0674 to SE0664,US,,R674BM,4109
SE05:8,SE0674 to SE0652,DS,,R674CM,3
SE06:1,SE0674 to SEDNSN,DSG,,R674DS,813
SE06:2,-,,,,0
SE06:3,SE5165 to SER668,1,,R5165B,921
SE06:4,SE5165 to SER670,2,,R5165C,684
SE06:5,SE5165 to SER672,3,,R5165D,873
SE06:6,SE5165 to SER674,4,,R5165E,514
SE06:7,SE5167 to SER674,4,,R5167A,297
SE06:8,-,,,,0
SE07:1,-,,,,0
SE07:2,SE5170 to SE0664,US,,R5170B,108
SE07:3,SE0491 to SE0495,5,,R491AM,19627
SE07:4,SE0491 to SE0497,4,,R491BM,15306
SE07:5,SE0491 to SE0499,3,,R491CM,1152
SE07:6,SE0491 to SE0501,2,,R491DM,20
SE07:7,SE0491 to SE0503,1,,R491EM,72
SE07:8,SE0493 to SE0499,3,,R493P3,32952
SE08:1,SE0493 to SE0501,2,,R493P2,293
SE08:2,SE0493 to SE0503,1,,R493P1,1814
SE08:3,SE0493 to SEUPSG,SG,,R493DS,0
SE08:4,SE0495 to SE0505,DA,,R495AM,9128
SE08:5,SE0495 to SE0507,CL,,R495MD,804
SE08:6,SE0495 to SE5136,MS1,,R495CS,257
SE08:7,SE0495 to SE5138,MS2,,R495DS,432
SE08:8,SE0497 to SE0505,DA,,R497AM,1227
SE09:1,SE0497 to SE0507,CL,,R497MD,565
SE09:2,SE0497 to SE5136,MS1,,R497CS,121
SE09:3,SE0497 to SE5138,MS2,,R497DS,163
SE09:4,SE0499 to SE0509,DM,,R499AM,29465
SE09:5,SE0499 to SE0511,UM,,R499BM,20
SE09:6,SE0499 to SE0515,DS,,R499CM,4613
SE09:7,SE0501 to SE0509,DM,,R501AM,111
SE09:8,SE0501 to SE0511,UM,,R501BM,1
SE0A:1,SE0501 to SE0552,US,,R501CS,0
SE0A:2,SE0501 to SE0515,DS,,R501DM,169
SE0A:3,SE0503 to SE0509,DM,,R503AM,165
SE0A:4,SE0503 to SE0511,UM,,R503BM,0
SE0A:5,SE0503 to SE0515,DS,,R503CM,228
SE0A:6,SE0503 to SE0552,US,,R503DS,1
SE0A:7,SE0507 to SE0509,DM,,R507AM,1348
SE0A:8,SE0507 to SE0511,UM,,R507BM,10
SE0B:1,SE0516 to SE0512,UE,,R516AM,10373
SE0B:2,SE0516 to SE0491,DE,,R516BS,2
SE0B:3,SE0516 to SEDNSG,SG,,R516CS,199
SE0B:4,SE0518 to SE0512,UE,,R518AM,14761
SE0B:5,SE0518 to SEDNSG,SG,,R518BS,149
SE0B:6,SE0522 to SE0514,UM,,R522MU,30508
SE0B:7,SE0522 to SE0493,DM,,R522BS,0
SE0B:8,SE0522 to SE0512,UE,,R522CM,780
SE0C:1,SE0524 to SE0510,UL,,R524LU,13833
SE0C:2,SE0524 to SE0514,UM,,R524MU,646
SE0C:3,SE0524 to SE0493,DM,,R524CS,1
SE0C:4,SE0524 to SE0512,UE,,R524DM,409
SE0C:5,SE0528 to SE0518,4,,R528P4,759
SE0C:6,SE0528 to SE0516,5,,R528P5,419
SE0C:7,SE0530 to SE0518,4,,R530P4,332
SE0C:8,SE0530 to SE0516,5,,R530P5,388
SE0D:1,SE0534 to SE0524,1,,R534AM,629
SE0D:2,SE0534 to SE0522,2,,R534P2,29736
SE0D:3,SE0536 to SE0534,UM,,R536AM,50
SE0D:4,SE0536 to SE0530,CL,,R536BM,21
SE0D:5,SE0538 to SE0534,UM,,R53834,30224
SE0D:6,SE0538 to SE0530,CL,,R538BM,707
SE0D:7,SE0552 to SE0524,1,,R552AM,12791
SE0D:8,SE0552 to SE0522,2,,R552BM,1553
SE0E:1,SE0554 to SE0552,,,R55452,14251
SE0E:2,,,,R5133A,2
SE0E:3,,,,R5133B,0
SE0E:4,,,,R5133C,0
SE0E:5,,,,R5135A,2
SE0E:6,,,,R5135B,3
SE0E:7,,,,R5135C,0
SE0E:8,SE5136 to SE0518,4,,R5136A,158
SE0F:1,SE5136 to SE0516,5,,R5136B,205
SE0F:2,SE5137 to SE0495,5,,R5137A,332
SE0F:3,SE5137 to SE0497,4,,R5137B,15
SE0F:4,SE5138 to SE0518,4,,R5138A,391
SE0F:5,SE5138 to SE0516,5,,R5138B,200
SE0F:6,SE5139 to SE0524,1,,R5139A,6
SE0F:7,-,,,,0
SE0F:8,SE5140 to SE0524,1,,R5140A,5
SE10:1,SE5140 to SE0522,2,,R5140B,8
SE10:2,SE0517 to SE0521,DS,,R517AM,10341
SE10:3,SE0517 to SE0535,US,,R517BM,4
SE10:4,SE0519 to SE0521,DS,,R519AM,4965
SE10:5,SE0519 to SE0535,US,,R519BM,4
SE10:6,SE0533 to SE0537,DS,,R533AM,15252
SE10:7,SE0533 to SE0551,US,,R533BM,7
SE10:8,SE0535 to SE0537,DS,,R535AM,144
SE11:1,SE0535 to SE0551,US,,R535BM,5
SE11:2,SE0560 to SE0556,US,,R560AM,14287
SE11:3,SE0560 to SE0550,UA,,R560BM,1174
SE11:4,SE0572 to SE0570,US,,R572AM,187
SE11:5,SE0572 to SE0558,DS,,R572BM,3
SE11:6,SE0574 to SE0570,US,,R574AM,15408
SE11:7,SE0574 to SE0558,DS,,R574BM,3
SE11:8,SE0735 to SE0739,DM,,R735AM,30528
SE12:1,SE0735 to SE0753,UM,,R735BM,86
SE12:2,SE0737 to SE0739,DM,,R737AM,81
SE12:3,SE0737 to SE0753,UM,,R737BM,166
SE12:4,SE0786 to SE0784,UM,,R786AM,109
SE12:5,SE0786 to SE0770,DM,,R786BM,79
SE12:6,SE0788 to SE0784,UM,,R788AM,30544
SE12:7,SE0788 to SE0770,DM,,R788BM,17
SE12:8,-,,,,0
SE13:1,SE0489 to SE0491,DE,,R48991,9350
SE13:2,SE0489 to SE0493,DM,,R489BM,35005
SE13:3,SE0512 to SE0508,UM,,R512AM,450
SE13:4,SE0512 to SE0506,UE,,R512BM,25480
SE13:5,SE0671 to SE0675,DL,,R671AM,423
SE13:6,SE0671 to SE0677,DM,,R671BM,30742
SE13:7,SE0685 to SE0691,DM,,R685AM,31344
SE13:8,SE0685 to SE0701,UM,,R685BM,65
SE14:1,SE0687 to SE0691,DM,,R687AM,369
SE14:2,SE0687 to SE0701,UM,,R687BM,21
SE14:3,SE0724 to SE0722,UM,,R724AM,9
SE14:4,SE0724 to SE0716,DM,,R724BM,1
SE14:5,SE0726 to SE0722,UM,,R726AM,31231
SE14:6,SE0726 to SE0716,DM,,R726BM,355
SE14:7,SE0791 to SE0799,DM,,R791AM,25476
SE14:8,SE0791 to SE0807,UM,,R791BM,60
SE15:1,SE0793 to SE0799,DM,,R793AM,271
SE15:2,SE0793 to SE0807,UM,,R793BM,139
SE15:3,SE0844 to SE0836,UM,,R844AM,16
SE15:4,SE0844 to SE0828,DM,,R844BM,38
SE15:5,SE0846 to SE0836,UM,,R846AM,26177
SE15:6,SE0846 to SE0828,DM,,R846BM,193
SE15:7,SE0819 to SE0827,DM,,R819AM,142
SE15:8,SE0819 to SE0829,UM,,R819BM,39
SE16:1,-,,,,0
SE16:2,SE0825 to SE0837,DM,,R82537,275
SE16:3,SE0825 to CC4009,UM,,R825CM,0
SE16:4,SE0825 to SE5203,UL,,R825DS,87
SE16:5,SE0825 to SEUSDG,SG,,R825ES,1
SE16:6,SE0827 to SE0837,DM,,R827AM,25784
SE16:7,SE0827 to CC4009,UM,,R827BM,10
SE16:8,SE0827 to SE5203,UL,,R827CS,29
SE17:1,SE0827 to SEUSDG,SG,,R827DS,37
SE17:2,SE0829 to CC4009,UM,,R829AM,38
SE17:3,SE0829 to SE5203,UL,,R829BS,6
SE17:4,SE0829 to SEUSDG,SG,,R829CS,2
SE17:5,SE0862 to SE0860,UM,*,R862AM,90
SE17:6,SE0862 to SE0854,DM,*,R862BM,51
SE17:7,SE0872 to SE0862,DM,,R872AM,32
SE17:8,SE0872 to SE0868,SD,,R872BM,66
SE18:1,SE0874 to SE0864,UM,,R874AM,25274
SE18:2,SE0874 to SE0862,DM,,R874BM,116
SE18:3,SE0874 to SE0868,SD,,R874CM,262
SE18:4,SE0876 to SE0864,UM,,R876AM,158
SE18:5,SE0876 to SE0862,DM,,R876BM,5
SE18:6,SE0876 to SE0868,SD,,R876CM,38
SE18:7,-,,,,0
SE18:8,SE0878 to SE0864,UM,,R878BM,38
SE19:1,SE0878 to SE0862,DM,,R878CM,1
SE19:2,SE0878 to SE0868,SD,,R878DM,2
SE19:3,SE0882 to SE0876,UL,,R882AM,88
SE19:4,SE0882 to SE0874,UM,,R882BM,25644
SE19:5,SE0597 to SE0603,DS,,R597AM,14384
SE19:6,SE0597 to SE0613,US,,R597BM,12
SE19:7,SE0599 to SE0603,DS,,R599AM,4
SE19:8,SE0599 to SE0613,US,,R599BM,14
SE1A:1,,,,R636AM,66
SE1A:2,,,,R636BM,7
SE1A:3,,,,R638AM,14383
SE1A:4,,,,R638BM,7
SE1A:5,SE0761 to SE0765,4,,R761P4,4659
SE1A:6,SE0761 to SE0769,3,,R761BM,25030
SE1A:7,SE0761 to SE0771,2,,R761CM,163
SE1A:8,SE0761 to SE0773,1,,R761P1,838
SE1B:1,SE0763 to SE0765,4,,R763P4,141
SE1B:2,SE0763 to SE0769,3,,R763BM,199
SE1B:3,SE0763 to SE0771,2,,R763CM,110
SE1B:4,SE0763 to SE0773,1,,R763P1,44
SE1B:5,SE0765 to SE0767,DB,,R765AM,5106
SE1B:6,SE0765 to SE0779,DL,,R765BM,1366
SE1B:7,SE0769 to SE0779,DL,,R76979,32
SE1B:8,SE0769 to SE0781,DM,,R76981,25165
SE1C:1,SE0773 to SE0793,UM,,R773AM,95
SE1C:2,-,,,,19257
SE1C:3,,,,R810AM,3918
SE1C:4,,,,R810BM,3
SE1C:5,,,,R812AM,96
SE1C:6,,,,R812BM,38
SE1C:7,,,,R814AM,24423
SE1C:8,,,,R814BM,111
SE1D:1,,,,R816AM,2432
SE1D:2,,,,R816BM,30
SE1D:3,,,,R818P4,5109
SE1D:4,,,,R820P3,19
SE1D:5,,,,R820P4,127
SE1D:6,-,,,,19265
SE1D:7,,,,R824P1,158
SE1D:8,,,,R824P2,24578
SE1E:1,-,,,,18557
SE1E:2,,,,R826P1,1617
SE1E:3,,,,R826P2,20
SE1E:4,,,,R82822,114
SE1E:5,,,,R82820,117
SE1E:6,,,,R830AM,1612
SE1E:7,,,,R830BM,24702
SE1E:8,SE0549 to SE0559,2,,R549AM,15227
SE1F:1,SE0549 to SE0553,3,,R549BM,53
SE1F:2,SE0551 to SE0553,3,,R551AM,15
SE1F:3,SE0551 to SE5146,SG,,,2
SE1F:4,,,,R553AM,348
SE1F:5,,,,R553BM,312
SE1F:6,,,,R553CM,12
SE1F:7,,,,R555AM,1181
SE1F:8,,,,R555BM,17
SE20:1,,,,R555CM,1
SE20:2,SE0557 to SE0639,SMN,,R557AM,3463
SE20:3,SE0557 to SE0569,SOV,,R557BM,218
SE20:4,,,,R559AM,1124
SE20:5,,,,R559BM,14408
SE20:6,,,,R592AM,15330
SE20:7,,,,R592BM,4
SE20:8,,,,R594AM,10
SE21:1,,,,,0
SE21:2,,,,R596AM,1095
SE21:3,,,,R596BM,1495
SE21:4,,,,R596CM,21
SE21:5,,,,R596DM,3497
SE21:6,,,,R602AM,0
SE21:7,,,,R602BM,3
SE21:8,,,,R602CM,19
SE22:1,,,,R602DM,0
SE22:2,SE0604 to SE0555,3,,R604AM,104
SE22:3,SE0604 to SE0592,4,,R604BM,14423
SE22:4,,,,R5150A,5
SE22:5,SE0602 to SE0592,3,,R5150B,100
SE22:6,,,,R5150C,251
SE22:7,SE0602 to SE0557,1,,R5150D,186
SE22:8,SE0471,,,,19577
SE23:1,,,,R5157B,58
SE23:2,SE0711,,,S711,31648
SE23:3,SE0713,,,S713,107
SE23:4,SE0715,,,S715,31560
SE23:5,SE0717,,,S717,91
SE23:6,SE0723,,,S723,556
SE23:7,SE0725,,,S725,30382
SE23:8,SE0727,,,S727,99
SE24:1,SE0756,,,S756,31757
SE24:2,SE0758,,,S758,1111
SE24:3,SE0760,,,S760,30605
SE24:4,SE0762,,,S762,625
SE24:5,SE0764,,,S764,226
SE24:6,SE0766,,,S766,30610
SE24:7,SE0770,,,S770,171
SE24:8,SE0772,,,S772,30688
SE25:1,SE0778,,,S778,30916
SE25:2,,SE5185,,S5185,1
SE25:3,,SE5186,,S5186,124
SE25:4,,SE5188,,S5188,117
SE25:5,SE0625,,,S625,14349
SE25:6,SE0627,,,S627,29
SE25:7,SE0629,,,S629,14357
SE25:8,SE0631,,,S631,55
SE26:1,SE0662,,,S662,14539
SE26:2,SE0666,,,S666,1067
SE26:3,SE0668,,,S668,2387
SE26:4,SE0670,,,S670,3229
SE26:5,SE0672,,,S672,7333
SE26:6,SE0674,,,S674,5429
SE26:7,SE5165,,,S5165,4163
SE26:8,SE5167,,,S5167,436
SE27:1,SE5170,,,S5170,153
SE27:2,SE0491,,,S491,36112
SE27:3,SE0493,,,S493,35062
SE27:4,SE0495,,,S495,10629
SE27:5,SE0497,,,S497,2065
SE27:6,SE0499,,,S499,34151
SE27:7,SE0501,,,S501,277
SE27:8,SE0503,,,S503,403
SE28:1,SE0507,,,S507,1356
SE28:2,SE0509,,,S509,31105
SE28:3,SE0511,,,S511,31
SE28:4,SE0516,,,S516,10568
SE28:5,SE0518,,,S518,14916
SE28:6,SE0522,,,S522,31301
SE28:7,SE0524,,,S524,14938
SE28:8,SE0528,,,S528,1164
SE29:1,SE0530,,,S530,719
SE29:2,SE0534,,,S534,30339
SE29:3,SE0536,,,S536,65
SE29:4,SE0538,,,S538,30933
SE29:5,SE0540,,,S540,65
SE29:6,SE0542,,,S542,30886
SE29:7,SE0552,,,S552,14352
SE29:8,SE0554,,,S554,14358
SE2A:1,SE5133,,*,S5133,2
SE2A:2,SE5135,,*,S5135,5
SE2A:3,SE5137,,,S5137,346
SE2A:4,SE5139,,*,S5139,7
SE2A:5,-,,,,18773
SE2A:6,SE5132,,*,S5132,1
SE2A:7,SE5134,,*,S5134,5
SE2A:8,SE5136,,,S5136,361
SE2B:1,SE5138,,,S5138,590
SE2B:2,SE5140,,*,S5140,13
SE2B:3,SE0505,,,S505,10358
SE2B:4,SE0517,,,S517,10373
SE2B:5,SE0550,,,S550,1175
SE2B:6,SE0515,,,S515,4965
SE2B:7,SE0519,,,S519,5003
SE2B:8,SE0529,,,S529,15311
SE2C:1,SE0533,,,S533,15333
SE2C:2,SE0543,,,S543,15264
SE2C:3,SE0558,,,S558,7
SE2C:4,SE0572,,,S572,191
SE2C:5,SE0556,,,S556,14358
SE2C:6,SE0560,,,S560,15532
SE2C:7,SE0574,,,S574,15471
SE2C:8,SE0584,,,S584,15457
SE2D:1,SE0535,,,S535,150
SE2D:2,SE0735,,,S735,30636
SE2D:3,SE0737,,,S737,244
SE2D:4,SE0753,,,S753,256
SE2D:5,SE0784,,,S784,30731
SE2D:6,SE0786,,,S786,195
SE2D:7,SE0788,,,S788,30627
SE2D:8,SE0794,,,S794,170
SE2E:1,SE0489,,,S489,44325
SE2E:2,SE0506,,,S506,25916
SE2E:3,SE0512,,,S512,26277
SE2E:4,SE0514,,,S514,31200
SE2E:5,SE0510,,,S510,13872
SE2E:6,SE0712,,,S712,58
SE2E:7,SE0714,,,S714,31057
SE2E:8,SE0716,,,S716,343
SE2F:1,SE0718,,,S718,31265
SE2F:2,SE0724,,,S724,10
SE2F:3,SE0726,,,S726,31614
SE2F:4,SE0730,,,S730,31626
SE2F:5,SE0736,,,S736,6
SE2F:6,SE0740,,,S740,31625
SE2F:7,SE0671,,,S671,31130
SE2F:8,SE0675,,,S675,398
SE30:1,SE0677,,,S677,30760
SE30:2,SE0679,,,S679,243
SE30:3,SE0685,,,S685,31430
SE30:4,SE0687,,,S687,376
SE30:5,SE0691,,,S691,31688
SE30:6,SE0697,,,S697,31673
SE30:7,SE0701,,,S701,86
SE30:8,SE0791,,,S791,26372
SE31:1,SE0793,,,S793,404
SE31:2,SE0803,,,S803,26608
SE31:3,SE0807,,,S807,185
SE31:4,SE0844,,,S844,55
SE31:5,SE0846,,,S846,26406
SE31:6,SE0854,,,S854,52
SE31:7,SE0856,,,S856,26413
SE31:8,SE0817,,,S817,26635
SE32:1,SE0819,,,S819,178
SE32:2,SE0825,,,S825,480
SE32:3,SE0827,,,S827,26747
SE32:4,SE0829,,,S829,44
SE32:5,SE0837,,,S837,26923
SE32:6,SE0862,,,S862,139
SE32:7,SE0864,,,S864,26328
SE32:8,SE0872,,,S872,96
SE33:1,SE0874,,,S874,26534
SE33:2,SE0876,,,S876,201
SE33:3,SE0878,,,S878,117
SE33:4,SE0882,,,S882,26585
SE33:5,SE0884,,,S884,31
SE33:6,SE0823,,,S823,4484
SE33:7,SE0868,,,S868,4453
SE33:8,SE5202,,,S5202,110
SE34:1,SE0581,,,S581,14402
SE34:2,SE0595,,,S595,14408
SE34:3,SE0597,,,S597,14444
SE34:4,SE0599,,,S599,16
SE34:5,SE0618,,,S618,14593
SE34:6,SE0636,,,S636,73
SE34:7,SE0638,,,S638,14577
SE34:8,SE0759,,,S759,30647
SE35:1,SE0761,,,S761,30656
SE35:2,SE0763,,,S763,474
SE35:3,SE0765,,,S765,6454
SE35:4,SE0769,,,S769,25264
SE35:5,SE0771,,,S771,290
SE35:6,SE0773,,,S773,140
SE35:7,SE0779,,,S779,1170
SE35:8,SE0781,,,S781,25204
SE36:1,SE0810,,,S810,3922
SE36:2,SE0812,,,S812,131
SE36:3,SE0814,,,S814,24556
SE36:4,SE0816,,,S816,2461
SE36:5,SE0820,,,S820,147
SE36:6,SE0822,,,S822,114
SE36:7,SE0824,,,S824,24696
SE36:8,SE0826,,,S826,1644
SE37:1,SE0828,,,S828,229
SE37:2,SE0830,,,S830,26242
SE37:3,SE0767,,,S767,5116
SE37:4,SE0818,,,S818,5058
SE37:5,SE0896,,,S896,5080
SE37:6,SE5189,,,S5189,6
SE37:7,SE0549,,,S549,15275
SE37:8,SE0551,,,S551,15
SE38:1,SE0553,,,S553,664
SE38:2,SE0555,,,S555,1200
SE38:3,SE0557,,,S557,3681
SE38:4,SE0559,,,S559,15518
SE38:5,SE0569,,,S569,14429
SE38:6,SE0592,,,S592,15467
SE38:7,SE0594,,,S594,68
SE38:8,SE0602,,,S602,22
SE39:1,SE0604,,,S604,14557
SE39:2,SE0596,,,S596,6094
SE39:3,SE0692,,,S692,4
SE39:4,SE0694,,,S694,6068
SE39:5,SE0696,,,S696,6076
SE39:6,SE0708,,,S708,6114
SE39:7,SE0639,,,S639,6105
SE39:8,SE0649,,,S649,6094
SE3A:1,SE0651,,,S651,6060
SE3A:2,SE5157,,,S5157,115
SE3A:3,SE5146,,*,S5146,0
SE3A:4,SE5148,,*,S5148,61
SE3A:5,SE5150,,,S5150,565
SE3A:6,SE557 TRTS,WIC P1,,LS557TRS,3607
SE3A:7,SE594 TRTS,WIC P2 Up,,LS594TRS,0
SE3A:8,SE559 TRTS,WIC P2 Dn,,LS559TRS,0
SE3B:1,SE592 TRTS,WIC P3 Up,,LS592TRS,0
SE3B:2,SE553 TRTS,WIC P3 Dn,,LS553TRS,0
SE3B:3,SE555 TRTS,WIC P4,,LS555TRS,1189
SE3B:4,SE708 TRTS,SMN,,LS708TRS,0
SE3B:5,SE765 TRTS,WTM P4 Dn,,LS765TRS,1890
SE3B:6,SE810 TRTS,WTM P4 Up,,LS810TRS,394
SE3B:7,SE812 TRTS,WTM P3 Up,,LS812TRS,19
SE3B:8,SE814 TRTS,WTM P2 Up,,LS814TRS,13
SE3C:1,SE816 TRTS,WTM P1 Up,,LS816TRS,1142
SE3C:2,SE0868 TRTS,MKT P3 Up,,LS868TRS,4209
SE3C:3,SE0495 TRTS,SNF P5 Dn,,LS495TRS,588
SE3C:4,SE0497 TRTS,SNF P4 Dn,,LS497TRS,437
SE3C:5,SE0499 TRTS,SNF P3 Dn,,LS499TRS,13
SE3C:6,SE0501 TRTS,SNF P2 Dn,,LS501TRS,56
SE3C:7,SE0503 TRTS,SNF P1 Dn,,LS503TRS,112
SE3C:8,SE0516 TRTS,SNF P5Up,,LS516TRS,9713
SE3D:1,SE0518 TRTS,SNF P4 Up,,LS518TRS,13790
SE3D:2,SE0522 TRTS,SNF P2Up,,LS522TRS,163
SE3D:3,SE0524 TRTS,SNF P1 Up,,LS524TRS,1722
SE3D:4,SE5136 TRTS,SESMS1,,LS5136TRS,348
SE3D:5,SE5138 TRTS,SESMS2,,LS5138TRS,580
SE3D:6,SE0666 TRTS,SEDNSS,,LS666TRS,972
SE3D:7,SE0668 TRTS,SOV P1,,LS668TRS,2371
SE3D:8,SE0670 TRTS,SOV P2,,LS670TRS,3196
SE3E:1,SE0672 TRTS,SOV P3,,LS672TRS,7311
SE3E:2,SE0674 TRTS,SOV P4,,LS674TRS,5383
SE3E:3,SE5165 TRTS,SEDNSN,,LS5165TS,4065
SE3E:4,SE5167 TRTS,SEUPSN,,LS5167TS,434
SE3E:5,SE5170 TRTS,SEUPSS,,LS5170TS,148
SE3E:6,SE758 TRTS,CHM P2 Up,,LS758TRS,814
SE3E:7,SE0447,,,S447,26947
SE3E:8,SE0449,,,S449,44409
SE3F:1,SE0475,,,S475,26920
SE3F:2,SE0477,,,S477,44410
SE3F:3,SE0498,,,S498,25903
SE3F:4,SE0570,,,S570,15550
SE3F:5,SE0583,,,S583,14432
SE3F:6,SE0611,,,S611,14442
SE3F:7,SE0613,,,S613,25
SE3F:8,SE0487,,,S487,26921
