Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
SI00:1,SI0226 to SI5057,SG,,R226AS,0
SI00:2,SI0226 to SI0222,UE,,R226BM,39589
SI00:3,SI0229 to SI0237,DTM,,R229AM,4461
SI00:4,SI0229 to SI0239,UTM,,R229BM,975
SI00:5,SI0229 to SI0241,DM,,R229CM,35906
SI00:6,SI0231 to SI0241,DM,,R231AM,1787
SI00:7,SI0231 to SI0245,DE,,R231BM,35635
SI00:8,SI0235 to SI0241,DM,,R235AM,1
SI01:1,SI0235 to SI0245,DE,,R235BM,201
SI01:2,SI0240 to SIU518,GF,,R240AM,0
SI01:3,SI0240 to SI0230,UE,,R240BM,94
SI01:4,SI0240 to SI0228,UM,,R240CM,296
SI01:5,SI0242 to SIU518,GF,,R242AM,2
SI01:6,SI0242 to SI0230,UE,,R242BM,236
SI01:7,SI0242 to SI0228,UM,,R242CM,34510
SI01:8,SI0244 to SIU518,GF,,R244AM,148
SI02:1,SI0244 to SI0230,UE,,R244BM,39288
SI02:2,SI0309 to SI0321,DM,,R309AM,41784
SI02:3,SI0309 to SI0317,DE,,R309BM,739
SI02:4,SI0309 to SI0319,UE,,R309CM,1
SI02:5,SI0311 to SI0317,DE,,R311AM,40
SI02:6,SI0311 to SI0319,UE,,R311BM,0
SI02:7,SI0313 to SI0317,DE,,R313AM,36287
SI02:8,SI0313 to SI0319,UE,,R313BM,1
SI03:1,SI0317 to SI0323,DE,,R317AM,33880
SI03:2,SI0317 to SI0909,DB,,R317BM,3203
SI03:3,SI0326 to SI0316,UM,,R326AM,38594
SI03:4,SI0326 to SI0304,DM,,R326BM,178
SI03:5,SI0328 to SI0308,DE,,R328AM,3
SI03:6,SI0328 to SI0316,UM,,R328BM,4
SI03:7,SI0328 to SI0304,DM,,R328CM,1
SI03:8,SI0330 to SI0324,UE,,R330AM,39240
SI04:1,SI0330 to SI0308,DE,,R330BM,45
SI04:2,SI0330 to SI0316,UM,,R330CM,1213
SI04:3,SI0330 to SI0304,DM,,R330DM,67
SI04:4,SI0903 to SI0907,DM,,R903AM,15760
SI04:5,SI0904 to SISTAP,UM,,R904AM,16202
SI04:6,SI0907 to SI0913,DM,,R907AM,15721
SI04:7,SI0907 to SI0915,UM,,R907BM,73
SI04:8,SI0909 to SI0913,DM,,R909AM,3192
SI05:1,SI0910 to SI0332,DB,,R910AM,1
SI05:2,SI0911 to SI0915,UM,,R911AM,5
SI05:3,SI0912 to SI0904,UM,,R912AM,16234
SI05:4,SI0912 to SI0334,UB,,R912BM,2861
SI05:5,SI0913 to SI0921,DM,,R913AM,18866
SI05:6,SI0915 to SI0921,DM,,R915AM,15
SI05:7,SI0918 to SI0912,UM,,R918AM,6
SI05:8,SI0918 to SI0910,DM,,R918BM,0
SI06:1,SI0920 to SI0912,UM,,R920AM,18975
SI06:2,SI0920 to SI0910,DM,,R920BM,1
SI06:3,SI0355 to SI0357,DE,,R355AMW,30897
SI06:4,SI0357 to SI0363,DE,,R357AM,28482
SI06:5,SI0357 to SI0367,UE,,R357BM,2453
SI06:6,SI0361 to HSHNT,SG,,R361AS,836
SI06:7,SI0361 to SI0363,DE,,R361BM,2275
SI06:8,SI0361 to SI0367,UE,,R361CM,374
SI07:1,SI0386 to SI0374,UE,,R386AMW,28211
SI07:2,SI0392 to SI0388,UE,,R392AM,28212
SI07:3,SI0392 to SIICIN,EX,,R392BS,311
SI07:4,SI0392 to SIRIFC,CS,,R392CS,2038
SI07:5,SI0400 to SI0390,UM,,R400AM,41753
SI07:6,SI0400 to SI0394,UE,,R400BM,579
SI07:7,SI0416 to SIRCHS,SG,,R416AS,0
SI07:8,SI0416 to SI0408,UM,,R416BM,42104
SI08:1,SI0427 to SI0431,DE,,R427AMW,30872
SI08:2,SI0431 to SIRGPL,CS,,R431AS,2867
SI08:3,SI0431 to SI0433,DE,,R431BM,24560
SI08:4,SI0431 to SIRGP2,TB,,R431CS,3464
SI08:5,SI0433 to SI0441,DE,,R433AM,23818
SI08:6,SI0433 to SI0443,DM,,R433BM,730
SI08:7,SI0435 to SI0441,DE,,R435AM,504
SI08:8,SI0435 to SI0443,DM,,R435BM,39945
SI09:1,Unused,,,,0
SI09:2,Unused,,,,0
SI09:3,Unused,,,,1
SI09:4,SI0439 to HSHNT,SG,,R439AS,230
