Address,Description,Comment 1,Comment 2,Occurrences,
SX01:1,S2003,,,3483,4637
SX01:2,S2004,,,3633,4855
SX01:3,S2006,,,0,0
SX01:4,S2011,,,3389,4505
SX01:5,S2012,,,3612,4794
SX01:6,S2027,S2029R,,6,7
SX01:7,S2028,,,3566,4741
SX01:8,S2029,,,3396,4511
SX02:1,S2032,,,4,5
SX02:2,S2033,,,3543,4686
SX02:3,S2035,,,2,4
SX02:4,S2042,,,3599,4781
SX02:5,S2044,S2042R,,5,7
SX02:6,Unused,,,0,0
SX02:7,Unused,,,0,0
SX02:8,Unused,,,0,0
SX03:1,S2045,,,3414,4537
SX03:2,S2046,,,3740,4957
SX03:3,S2047,,,8,8
SX03:4,S2052,,,3590,4773
SX03:5,S2053,S2055R,,6,7
SX03:6,S2054,S2052R,,6,7
SX03:7,S2055,,,3424,4547
SX03:8,S2056,,,3574,4749
SX04:1,S2057,,,3421,4537
SX04:2,S2058,,,4,5
SX04:3,S2060,,,3587,4768
SX04:4,S2062,S2060R,,5,7
SX04:5,S2066,,,3586,4775
SX04:6,Unused,,,0,0
SX04:7,Unused,,,0,0
SX04:8,Unused,,,0,0
SX05:1,SX901 Rev,P901N,,3308,4416
SX05:2,SX905 Norm,P905N,,3334,4444
SX05:3,SX901 Norm,P901R,,3329,4441
SX05:4,SX905 Rev,P905R,,3351,4461
SX05:5,Unused,,,0,0
SX05:6,Unused,,,0,0
SX05:7,Unused,,,0,0
SX05:8,Unused,,,0,0
SX06:1,SX907 Norm,P907N,,2955,3930
SX06:2,SX908 Norm,P908N,,2960,3940
SX06:3,SX909 Norm,P909R,,2789,3712
SX06:4,SX907 Rev,P907R,,2957,3936
SX06:5,SX908 Rev,P908R,,2958,3938
SX06:6,SX909 Rev,P909R,,2810,3733
SX06:7,Unused,,,0,0
SX06:8,Unused,,,0,0
SX07:1,R2003,,,274,372
SX07:2,R2004,,,274,372
SX07:3,R2011,,,3427,4558
SX07:4,R2012A,,,3583,4765
SX07:5,R2012B,,,18,18
SX07:6,R2028,,,3575,4753
SX07:7,R2029A,,,3440,4570
SX07:8,R2029B,,,11,15
SX08:1,R2032,,,4,5
SX08:2,R2033,,,645,838
SX08:3,R2035,,,2,4
SX08:4,R2042,,,3586,4764
SX08:5,Unused,,,0,0
SX08:6,Unused,,,0,0
SX08:7,Unused,,,0,0
SX08:8,Unused,,,0,0
SX09:1,R2045,,,3404,4524
SX09:2,R2046,,,541,707
SX09:3,R2047,,,5,5
SX09:4,R2052,,,3591,4775
SX09:5,R2055,,,3421,4547
SX09:6,R2056,,,3574,4748
SX09:7,R2057,,,3412,4536
SX09:8,R2058,,,4,5
SX0A:1,R2060A,,,3585,4767
SX0A:2,R2060B,,,0,0
SX0A:3,R2066,,,3571,4752
SX0A:4,Unused,,,0,0
SX0A:5,Unused,,,0,0
SX0A:6,Unused,,,0,0
SX0A:7,Unused,,,0,0
SX0A:8,Unused,,,0,0
SX0B:1,T7141/-/7242,Colchester,,3431,4570
SX0B:2,T7243,Colchester,,3421,4552
SX0B:3,T7244,Colchester,,3415,4542
SX0B:4,T7245,Colchester,,3407,4530
SX0B:5,T7256,Colchester,,3554,4734
SX0B:6,T7257,Colchester,,3554,4736
SX0B:7,Unused,,,0,0
SX0B:8,Unused,,,0,0
SX0C:1,Unused,,,0,0
SX0C:2,TMSS,Axle counter,,6941,9223
SX0C:3,TSMA,,,3421,4539
SX0C:4,TSMM,,,3557,4729
SX0C:5,TSMP,,,3561,4738
SX0C:6,TSMR,,,3620,4816
SX0C:7,TSMS,,,3576,4758
