Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
U200:1,UR0616 to UR0612,,,R616,7875
U200:2,UR0617 to UR0619,,,R617AM,5832
U200:3,UR0617 to UR0807,,,R617BM,507
U200:4,UR0617 to UR0809,,,R617CM,0
U200:5,UR0617 to UR1115,,,R617DS,346
U200:6,UR0621 to UR0625,,,R621,5933
U200:7,UR0622 to UR0620,,,R622,7567
U200:8,UR0626 to UR0620,,,R626A,7570
U201:1,UR0626 to UR0810,,,R626B,294
U201:2,UR0806 to UR0804,,,R806,219
U201:3,UR0807 to URDNSD,,,R807AS,42
U201:4,UR0807 to UR1135,,,R807BS,280
U201:5,UR0807 to FW2,,,R807CS,4
U201:6,UR0807 to UR0827,M,,R807DM,161
U201:7,UR0807 to UR0827,S,,R807DS,0
U201:8,UR0807 to UR0825,M,,R807EM,28
U202:1,UR0807 to UR0825,S,,R807ES,0
U202:2,UR0807 to UR0823,M,,R807FM,133
U202:3,UR0807 to UR0823,S,,R807FS,0
U202:4,UR0808 to UR0806,,,R808AM,192
U202:5,UR0808 to UR1138,,,R808BS,101
U202:6,UR0809 to URDNSD,,,R809AS,19
U202:7,UR0809 to UR1135,,,R809BS,84
U202:8,UR0809 to FW2,,,R809CS,48
U203:1,UR0809 to UR0827,M,,R809DM,73
U203:2,UR0809 to UR0827,S,,R809DS,3
U203:3,UR0809 to UR0825,M,,R809EM,52
U203:4,UR0809 to UR0825,S,,R809ES,3
U203:5,UR0809 to UR0823,M,,R809FM,92
U203:6,UR0809 to UR0823,S,,R809FS,0
U203:7,UR0810 to UR0808,,,R810,277
U203:8,UR0820 to UR1113,,,R820AS,2
U204:1,UR0820 to UR0620,,,R820BM,247
U204:2,UR0820 to UR0806,,,R820CM,19
U204:3,UR0820 to UR1138,,,R820DS,82
U204:4,UR0822 to UR1113,,,R822AS,42
U204:5,UR0822 to UR0620,,,R822BM,21
U204:6,UR0822 to UR0806,,,R822CM,6
U204:7,UR0822 to UR1138,,,R822DS,16
U204:8,UR0824 to UR1113,,,R824AS,53
U205:1,UR0824 to UR0620,,,R824BM,81
U205:2,UR0824 to UR0806,,,R824CM,8
U205:3,UR0824 to UR1138,,,R824DS,68
U205:4,UR1113 to UR1123,,,R1113A,1
U205:5,UR1113 to UR1125,,,R1113B,0
U205:6,UR1113 to UR1127,,,R1113C,7
U205:7,UR1113 to UR1129,,,R1113D,19
U205:8,UR1115 to UR0807,,,R1115A,202
U206:1,UR1115 to UR1123,,,R1115B,25
U206:2,UR1115 to UR1125,,,R1115C,1
U206:3,UR1115 to UR1127,,,R1115D,49
U206:4,UR1115 to UR1129,,,R1115E,65
U206:5,UR1118 to UR0804,,,R1118A,93
U206:6,UR1118 to UR1112,,,R1118B,24
U206:7,UR1120 to UR0804,,,R1120A,31
U206:8,UR1120 to UR1112,,,R1120B,10
U207:1,UR1122 to UR0804,,,R1122A,0
U207:2,UR1122 to UR1112,,,R1122B,1
U207:3,UR1123 to UR0809,,,R1123,43
U207:4,UR1124 to UR0804,,,R1124A,15
U207:5,UR1124 to UR1112,,,R1124B,1
U207:6,UR1125 to UR0809,,,R1125,65
U207:7,UR1127 to UR0809,,,R1127,105
U207:8,UR1129 to UR0809,,,R1129,149
U208:1,UR1130 to UR1168,,,R1130A,60
U208:2,UR1130 to UR1128,,,R1130B,0
U208:3,UR1131 to UR0827,,,R1131A,2
U208:4,UR1131 to UR0825,,,R1131B,3
U208:5,UR1131 to UR0823,,,R1131C,1
U208:6,UR1133 to UR0827,,,R1133A,19
U208:7,UR1133 to UR0825,,,R1133B,59
U208:8,UR1133 to UR0823,,,R1133C,20
U209:1,UR1135 to URDNFT,,,R1135A,233
U209:2,UR1135 to UR1139,,,R1135B,288
U209:3,UR1138 to UR1118,,,R1138A,174
U209:4,UR1138 to UR1120,,,R1138B,86
U209:5,UR1138 to UR1122,,,R1133C,67
U209:6,UR1138 to UR1124,,,R1133D,42
U209:7,UR1139 to UR0813,,,R1139,289
U209:8,R1601,,,R1601,369
U20A:1,R1602,,,R1602,228
U20A:2,R1603,,,R1603,110
U20A:3,R1604,,,R1604,2120
U20A:4,RFW6A,,,RFW6A,235
U20A:5,RFW6B,,,RFW9B,2
U20A:6,UR0616,,,S616,7289
U20A:7,UR0617,,,S617,6448
U20A:8,UR0621,,,S621,5734
U20B:1,UR0622,,,S622,6225
U20B:2,UR0626,,,S626,6202
U20B:3,UR0806,,,S806,216
