Address,Type,Description,Comment 1,Comment 2,Signalling ID,Occurrences
U300:1,Route,U31002 to U31205,DM,,R1002,5516
U300:2,Route,U31052 to U31205,DM,,R1052,2
U300:3,Route,U31111 to U31206,UM,,R1111AM,394
U300:4,Route,U31111 to U31208,DM,,R1111BM,0
U300:5,Route,U31112 to U3K263,KX,kngs x,R1112AM,346
U300:6,Route,U31112 to U3041C,HS1,hgh spd 1,R1112BM,0
U300:7,Route,U31112 to U3041C,HS1,hgh spd 1,R1112BW,0
U300:8,Route,U31112 to U3026C,STP,st pancrs,R1112CM,0
U301:1,Route,U31113 to U31111,NLI,nth ldn incln,R1113,391
U301:2,Route,U31117 to U31111,NLI,nth ldn incln,R1117,0
U301:3,Route,U31119 to U31111,NLI,nth ldn incln,R1119,0
U301:4,Route,U31200 to U31205,DM,,R1200,8
U301:5,Route,U31204 to U31205,DM,,R1204,798
U301:6,Route,U31205 to U31213,DM,,R1205AM,7623
U301:7,Route,U31205 to U31112,NLI,nth ldn incln,R1205BM,345
U301:8,Route,U31206 to U3W801,WM,wmbly,R1206AM,756
U302:1,Route,U31206 to U31001,UM,,R1206BM,5155
U302:2,Route,U31208 to U3W801,WM,wmbly,R1208AM,24
U302:3,Route,U31208 to U31001,UM,,R1208BM,37
U302:4,Route,U31210 to U31206,UM,,R1210AM,7605
U302:5,Route,U31210 to U31208,DM,,R1210BM,14
U302:6,Route,U31212 to U31208,UM,,R1212,8
U302:7,Route,U31213 to U31217,DR,dn relf,R1213AM,647
U302:8,Route,U31213 to U31219,DM,,R1213BM,6983
U303:1,Route,U31213 to U31221,UR,up rev,R1213CM,0
U303:2,Route,U31214 to U31210,UM,,R1214,865
U303:3,Route,U31216 to U31210,UM,,R1216AM,6747
U303:4,Route,U31216 to U31212,DM,,R1216BM,8
U303:5,Route,U31233 to U31311,DM,,R1233,642
U303:6,Route,U31234 to U31226,UM,,R1234AM,859
U303:7,Route,U31234 to U31228,UR,up rev,R1234BM,6751
U303:8,Route,U31235 to U31311,DM,,R1235,6979
U304:1,Route,U31237 to U31313,UM,,R1237AM,1
U304:2,Route,U31328 to U31238,UM,,R1238,0
U304:3,Route,U31242 to U31234,UM,,R1242,7603
U304:4,Route,U31343 to U31315,DM,,R1243,161
U304:5,Route,U31245 to U31315,DM,,R1245,7625
U304:6,Route,U31246 to U31242,UM,,R1246,7610
U304:7,Route,U31250 to U31246,UM,,R1250,7610
U304:8,Route,U31254 to U31250,UM,,R1254AM,7610
U305:1,Route,U31254 to U31248,DM,,R1254BM,0
U305:2,Route,U31254 to U3K375,KX,kngs x,R1254CM,147
U305:3,Route,U31311 to U31245,DM,,R1311,7586
U305:4,Route,U31315 to U31247,DM,,R1315AM,7772
U305:5,Route,U31315 to U31249,UM,,R1315BM,10
U305:6,Route,U31260 to U31258,DM,,R1260,7754
U305:7,Route,U31261 to U31265,DM,,R1261AM,7737
U305:8,Route,U31261 to U3L136,GRC,,R1261BM,0
U306:1,Route,U31261 to U3L136,GRC,WNR,R1261BW,13
U306:2,Route,U31265 to U31269,DM,,R1265,7771
U306:3,Route,U31268 to U31264,UM,,R1268,14
U306:4,Route,U31269 to U31271,DM,,R1269,7761
U306:5,Route,U31270 to U31264,UM,,R1270,7739
U306:6,Route,U31274 to U31272,UM,,R1274,7745
U306:7,Route,U31275 to U31277,DM,,R1275AM,7738
U306:8,Route,U31275 to U31279,UM,,R1275BM,29
U307:1,Route,U31279 to U31283,UM,,R1279,28
U307:2,Route,U31280 to U31278,UM,,R1280,7726
U307:3,Route,U31281 to U31285,DM,,R1281,7731
U307:4,Route,U31282 to U31280,UM,,R1282,7752
U307:5,Route,U31283 to U31287,UM,,R1283,11
U307:6,Route,U31284 to U31282,UM,,R1284,7734
U307:7,Route,U31285 to U31421,HM,,R1285AM,29
U307:8,Route,U31285 to U31421,HM,WNR,R1285AW,0
U308:1,Route,U31285 to U31289,DM,,R1285BM,7707
U308:2,Route,U31286 to U31282,UM,,R1286,708
U308:3,Route,U31287 to U31421,HM,,R1287AM,0
U308:4,Route,U31287 to U31421,HM,WNR,R1287AW,0
U308:5,Route,U31287 to U31289,DM,,R1287BM,15
U308:6,Route,U31288 to U31284,UM,,R1288,6963
U308:7,Route,U31289 to U31401,DM,,R1289AM,6568
U308:8,Route,U31289 to U3S269,CC,,R1289BM,1058
U309:1,Route,U31289 to U3S258,CR,,R1289CM,104
U309:2,Route,U31290 to U31284,UM,,R1290,41
U309:3,Route,U31292 to U31286,CL,,R1292AM,706
U309:4,Route,U31292 to U31288,UM,,R1292BM,34
U309:5,Route,U31292 to U31423,HM,,R1292CM,49
