Address,Description,Comment 1,Comment 2,Signalling ID,Occurrences
UR00:1,UR0101 to UR0105,DF,,R101A,4685
UR00:2,UR0101 to UR0509,DS,,R1018,26
UR00:3,UR0103 to UR0105,DF,,R103A,3636
UR00:4,UR0103 to UR0509,DS,,R103B,324
UR00:5,UR0106 to URR507,1,,R106A,130
UR00:6,UR0106 to URR505,2,,R106B,1110
UR00:7,UR0106 to URR103,3,,R106C1,3777
UR00:8,UR0106 to URR103,3,loop,R106C2,3
UR01:1,UR0106 to URR101,4,far,R106D1,101
UR01:2,UR0106 to URR101,4,near,R106D2,5552
UR01:3,UR0107 to UR0113,DM,,R107,11766
UR01:4,UR0108 to UR0106,UF,,R108,11751
UR01:5,UR0112 to UR0512,US,,R112A,13869
UR01:6,UR0112 to UR0108,UF,,R112B,11649
UR01:7,UR0116 to UR0112,UM,,R116,19598
UR01:8,UR0505 to UR0105,DF,,R505A,1057
UR02:1,UR0505 to UR0509,DS,,R505B,3616
UR02:2,UR0507 to UR0105,DF,,R507A,365
UR02:3,UR0507 to UR0509,DS,,R507B,4102
UR02:4,UR0510 to URR507,1,,R510A1,4320
UR02:5,UR0510 to URR507,1,loop,R510A2,0
UR02:6,UR0510 to URR505,2,far,R510B1,4958
UR02:7,UR0510 to URR505,2,near,R510B2,3
UR02:8,UR0510 to URR103,3,,R510C,155
UR03:1,UR0510 to URR101,4,,R510D,27
UR03:2,UR0511 to UR0113,DM,,R511,8710
UR03:3,UR0512 to UR0510,US,,R512,8592
UR03:4,UR1002 to URR507,1,,R1002A,0
UR03:5,UR1002 to URR505,2,,R1002B,1
UR03:6,UR1002 to URR103,3,,R1002C,0
UR03:7,UR1002 to URR101,4,,R1002D,0
UR03:8,UR1004 to URR507,1,,R1004A,0
UR04:1,UR1004 to URR505,2,,R1004B,1
UR04:2,UR1004 to URR103,3,,R1004C,1
UR04:3,UR1004 to URR101,4,,R1004D,0
UR04:4,UR0101,,,S101,5132
UR04:5,UR0103,,,S103,4302
UR04:6,UR0106,,,S106,10388
UR04:7,UR0107,,,S107,10902
UR04:8,UR0108,,,S108,10512
UR05:1,UR0112,,,S112,19890
UR05:2,UR0116,,,S116,20776
UR05:3,UR0505,,,S505,5199
UR05:4,UR0507,,,S507,5204
UR05:5,UR0510,,,S510,14185
UR05:6,UR0511,,,S511,14164
UR05:7,UR0512,,,S512,13871
UR05:8,UR1002,,,S1002,1
UR06:1,UR1004,,,S1004,2
UR06:2,UR101 TRTS,,,L101TRS,4706
UR06:3,UR103 TRTS,,,L103TRS,4009
UR06:4,UR505 TRTS,,,L505TRS,4533
UR06:5,UR507 TRTS,,,L507TRS,10772
UR06:6,UR0128 to UR0126,UM,,R128,19908
UR06:7,UR0129 to URL235,GF,,R129A,41
UR06:8,UR0129 to UR0133,DM,,R129B,18634
UR07:1,UR0130 to UR0516,UPL,,R130A,154
UR07:2,UR0130 to UR0128,UM,,R130B,22507
UR07:3,UR0149 to UR0153,DM,,R149AM,19424
UR07:4,UR0149 to EMUD,CS,,R149BS,1784
UR07:5,UR0154 to UR0150,UM,,R154,21800
UR07:6,UR0155 to UR0157,DM,,R155A,19605
UR07:7,UR0155 to UR0519,UM,,R155B,51
UR07:8,UR0156 to UR0154,UM,,R156AM,20581
UR08:1,UR0156 to EMUD,CS,,R156BS,911
UR08:2,UR0157 to UR0159,DM,,R157A,12901
UR08:3,UR0157 to UR0903,DFT,,R157BM,4915
UR08:4,UR0516 to UR0126,UM,,R516,91
UR08:5,UR0517 to UR0133,DM,,R517A,14
UR08:6,UR0517 to URL235,GF,,R517B,32
UR08:7,UR0518 to UR0128,UM,,R518A,14
UR08:8,UR0518 to UR0516,UPL,,R518B,8
UR09:1,UR0519 to UR0521,UM,,R519A,3
UR09:2,UR0519 to UR0907,UTF,,R519B,81
UR09:3,UR0900 to UR0150,UM,,R900AM,1473
UR09:4,UR1011 to UR0517,UPL,,R1011,0
UR09:5,UR1012 to UR0128,UM,,R1012A,0
UR09:6,UR1012 to UR0516,UPL,,R1012B,0
UR09:7,UR1015 to EMUD,CS,,R1015,0
UR09:8,UR1019 to UR0157,DM,,R1019A,992
UR0A:1,UR1019 to UR0519,UM,,R1019B,37
UR0A:2,UR1020 to EMUD,CS,,R1020,0
UR0A:3,UR0128,,,S128,21361
UR0A:4,UR0129,,,S129,18993
UR0A:5,UR0130,,,S130,21760
UR0A:6,Unused,UR0139,OOU,,0
UR0A:7,Unused,UR0140,OOU,,0
UR0A:8,UR0149,,,S149,19455
UR0B:1,UR0154,,,S154,20653
UR0B:2,UR0155,,,S155,18293
UR0B:3,UR0156,,,S156,20851
UR0B:4,UR0157,,,S157,19444
UR0B:5,UR0516,,,S516,95
UR0B:6,UR0517,,,S517,46
UR0B:7,UR0518,,,S518,23
UR0B:8,UR0519,,,S519,88
UR0C:1,UR0900,,,S900,1472
UR0C:2,UR1011,,,S1011,0
UR0C:3,UR1012,,,S1012,0
UR0C:4,UR1015,,,S1015,0
UR0C:5,UR1019,,,S1019,1027
UR0C:6,UR1020,,,S1020,0
UR0C:7,EH3,,,SEH3,1762
UR0C:8,Unused,,,,0
UR0D:1,Unused,,,,0
UR0D:2,Unused,,,,0
UR0D:3,UR0159 to UR0161,DM,,R159,15897
UR0D:4,UR0160 to UR0156,UM,,R160,13862
UR0D:5,UR0161 to UR0167,DM,,R161,16228
UR0D:6,UR0162 to UR0160,UM,,R162,13894
UR0D:7,UR0167 to UR0169,DM,,R167A,15618
UR0D:8,UR0167 to UR0527,UM,,R167B,3
UR0E:1,UR0168 to UR0162,UM,,R168,11747
UR0E:2,UR0521 to UR0161,DM,,R521A,1
UR0E:3,UR0521 to UR0523,UM,,R521B,2
UR0E:4,UR0523 to UR0525,UM,,R523,2
UR0E:5,UR0524 to UR0160,UM,,R524,3
UR0E:6,UR0525 to UR0527,UM,,R525,5
UR0E:7,UR0526 to UR0524,DM,,R526,66
UR0E:8,UR0601 to URR906,1,,R601A,5801
UR0F:1,UR0601 to UR0605,DTH,,R601B,2817
UR0F:2,UR0604 to URL924,UTH,,R604,2728
UR0F:3,UR0605 to UR0611,DT,,R605,2843
UR0F:4,UR0610 to UR0904,UTF,,R610A,5356
UR0F:5,UR0610 to UR0604,UTH,,R610B,2281
UR0F:6,UR0611 to UR0911,DCL,,R611A,692
UR0F:7,UR0611 to UR0915,UCL,,R611B,400
UR0F:8,UR0611 to UR0615,DT,,R611C,6357
UR10:1,UR0612 to UR0610,UT,,R612,6337
UR10:2,UR0615 to UR0617,DT,,R615,6697
UR10:3,UR0804 to UR0610,UT,,R804,345
UR10:4,UR0902 to URL924,UTH,,R902A,6252
UR10:5,UR0902 to URL918,DTH,,R902B,0
UR10:6,UR0903 to UR0611,DT,,R903,5370
UR10:7,UR0904 to UR0156,UM,,R904,5709
UR10:8,UR0906 to UR0902,UTH,,R906,6218
UR11:1,UR0907 to UR0611,DT,,R907A,27
UR11:2,UR0907 to UR0909,UT,,R907B,80
UR11:3,UR0908 to UR0904,UTF,,R908A,157
UR11:4,UR0908 to UR0604,UTH,,R908B,422
UR11:5,UR0909 to UR0915,UCL,,R909A,31
UR11:6,UR0909 to UR0615,DT,,R909B,32
UR11:7,UR1101 to URR906,1,,R1101A,0
UR11:8,UR1101 to UR0605,DTH,,R1101B,1
UR12:1,UR1103 to UR0611,DT,,R1103A,0
UR12:2,UR1103 to UR0909,UT,,R1103B,0
UR12:3,UR1104 to UR0610,UT,,R1104A,0
UR12:4,UR1104 to UR0908,DT,,R1104B,0
UR12:5,UR0159,,,S159,15311
UR12:6,UR0160,,,S160,13797
UR12:7,UR0161,,,S161,13575
UR12:8,UR0162,,,S162,12710
UR13:1,UR0167,,,S167,12942
UR13:2,UR0168,,,S168,13802
UR13:3,UR0521,,,S521,3
UR13:4,UR0523,,,S523,2
UR13:5,UR0524,,,S524,3
UR13:6,UR0525,,,S525,5
UR13:7,UR0526,,,S526,69
UR13:8,UR0601,,,S601,8251
UR14:1,UR0604,,,S604,2824
UR14:2,UR0605,,,S605,2795
UR14:3,UR0610,,,S610,7705
UR14:4,UR0611,,,S611,7758
UR14:5,UR0612,,,S612,6250
UR14:6,UR0615,,,S615,6809
UR14:7,UR0804,,,S804,365
UR14:8,UR0902,,,S902,5822
UR15:1,UR0903,,,S903,4982
UR15:2,UR0904,,,S904,5353
UR15:3,UR0906,,,S906,5718
UR15:4,UR0907,,,S907,108
UR15:5,UR0908,,,S908,583
UR15:6,UR0909,,,S909,61
UR15:7,UR1101,,,S1101,1
UR15:8,UR1103,,,S1103,0
UR16:1,UR1104,,,S1104,0
UR16:2,UR906 TRTS,,,L906TRS,6714
UR16:3,UR0169 to UR0173,DM,,R169,15473
UR16:4,UR0170 to UR0168,UM,,R170A,15139
UR16:5,UR0170 to UR0526,DM,,R170B,86
UR16:6,UR0173 to UR0177,DM,,R173,15668
UR16:7,UR0174 to UR0170,UM,,R174,15580
UR16:8,UR0176 to UR0916,UCL,,R176A,770
UR17:1,UR0176 to UR0174,UM,,R176B,16177
UR17:2,UR0177 to UR0179,DM,,R177,18048
UR17:3,UR0180 to UR0176,UM,,R180,16572
UR17:4,UR0193 to UR0195,DM,,R193A,18015
UR17:5,UR0193 to UR0535,UM,,R193B,1
UR17:6,UR0194 to UR0192,UM,,R194A,13613
UR17:7,UR0194 to UR0530,DM,,R194B,1
UR17:8,UR0527 to UR0529,UM,,R527,9
UR18:1,UR0528 to UR0526,DM,,R528,0
UR18:2,UR0529 to UR0177,DM,,R529A,646
UR18:3,UR0529 to UR0533,UM,,R529B,3
UR18:4,UR0532 to UR0916,UCL,,R532A,4
UR18:5,UR0532 to UR0174,UM,,R532B,1
UR18:6,UR0532 to UR0530,DM,,R532C,0
UR18:7,UR0533 to UR0195,DM,,R533A,0
UR18:8,UR0533 to UR0535,UM,,R533B,3
UR19:1,UR0534 to UR0192,UM,,R534A,0
UR19:2,UR0534 to UR0532,DM,,R534B,0
UR19:3,UR0910 to UR0610,8,,R910A,1002
UR19:4,UR0910 to UR0908,7,,R910B,147
UR19:5,UR0911 to UR0529,UM,,R911,655
UR19:6,UR0915 to UR0177,DM,,R915A,28
UR19:7,UR0915 to UR0533,UM,,R915B,0
UR19:8,UR0916 to UR0910,UCL,,R916,771
UR1A:1,UR0169,,,S169,19459
UR1A:2,UR0170,,,S170,18783
UR1A:3,UR0173,,,S173,19886
UR1A:4,UR0174,,,S174,20570
UR1A:5,UR0176,,,S176,20049
UR1A:6,UR0177,,,S177,21615
UR1A:7,UR0180,,,S180,19845
UR1A:8,UR0193,,,S193,22417
UR1B:1,UR0194,,,S194,12422
UR1B:2,UR0527,,,S527,8
UR1B:3,UR0528,,,S528,0
UR1B:4,UR0529,,,S529,650
UR1B:5,UR0532,,,S532,5
UR1B:6,UR0533,,,S533,3
UR1B:7,UR0534,,,S534,0
UR1B:8,UR0910,,,S910,1136
UR1C:1,UR0911,,,S911,686
UR1C:2,UR0915,,,S915,34
UR1C:3,UR0916,,,S916,788
UR1C:4,UR0209 to UR0211,DM,,R209,15012
UR1C:5,UR0211 to UR0213,DM,,R211,15012
UR1C:6,UR0212 to UR0206,UM,,R212,15175
UR1C:7,UR0213 to UR0217,DM,,R213A,12318
UR1C:8,UR0213 to UR0543,UM,,R213B,0
UR1D:1,UR0213 to UR0853,DO,,R213C,4164
UR1D:2,UR0214 to UR0212,UM,,R214,13998
UR1D:3,UR0216 to UR0214,UM,,R216A,11666
UR1D:4,UR0216 to UR0540,DM,,R216B,88
UR1D:5,UR0217 to UR0221,UM,,R217,12057
UR1D:6,UR0222 to UR0216,UM,,R222,11501
UR1D:7,UR0535 to UR0537,UM,,R535A,0
UR1D:8,UR0537 to UR0211,DM,,R535B,4
UR1E:1,UR0537 to UR0539,UM,,R537,4
UR1E:2,UR0538 to UR0210,UM,,R538A,9
UR1E:3,UR0538 to UR0534,DM,,R538B,0
UR1E:4,UR0539 to UR0543,UM,,R539A,4
UR1E:5,UR0539 to UR0853,DO,,R539B,34
UR1E:6,UR0540 to UR0538,DM,,R540,202
UR1E:7,UR0542 to UR0540,DM,,R542,0
UR1E:8,UR0851 to UR0853,OK,,R851AM,71
UR1F:1,UR0851 to GF,,,R851BS,138
UR1F:2,UR0852 to URR851,1A,,R852A,72
UR1F:3,UR0852 to UR0214,UM,,R852B,4045
UR1F:4,UR0852 to UR0540,DM,,R852C,116
UR1F:5,UR0853 to UR0857,DO,,R853,4311
UR1F:6,UR0857 to UR0991,2,,R857A,4253
UR1F:7,UR0857 to UR0859,1,,R857B,55
UR1F:8,UR0858 to UR0854,UO,,R858,3253
UR20:1,UR0859 to UR0863,DO,,R859,4737
UR20:2,UR0860 to UR0858,1,,R860A,1037
UR20:3,UR0860 to UR0990,2,,R860B,3695
UR20:4,UR0990 to UR0854,UO,,R990,1284
UR20:5,UR0991 to UR0863,DO,,R991,62
UR20:6,UR0209,,,S209,14433
UR20:7,UR0211,,,S211,14546
UR20:8,UR0212,,,S212,15302
UR21:1,UR0213,,,S213,16332
UR21:2,UR0214,,,S214,14686
UR21:3,UR0216,,,S216,9586
UR21:4,UR0217,,,S217,12950
UR21:5,UR0222,,,S222,12817
UR21:6,UR0535,,,S535,4
UR21:7,UR0537,,,S537,4
UR21:8,UR0538,,,S538,6
UR22:1,UR0539,,,S539,39
UR22:2,UR0540,,,S540,207
UR22:3,UR0542,,,S542,0
UR22:4,UR0851,,,S851,76
UR22:5,UR0852,,,S852,4194
UR22:6,UR0853,,,S853,4058
UR22:7,UR0857,,,S857,4048
UR22:8,UR0858,,,S858,3220
UR23:1,UR0859,,,S859,4064
UR23:2,UR0860,,,S860,4102
UR23:3,UR0990,,,S990,1158
UR23:4,UR0991,,,S991,52
UR23:5,UR851 TRTS,,,L851TRS,19
UR23:6,UR858 TRTS,,,L858TRS,1
UR23:7,UR0233 to UR0237,DM,,R233A,10083
UR23:8,UR0233 to UR0545,UM,,R233B,3
UR24:1,UR0236 to UR0234,UM,,R236A,10731
UR24:2,UR0236 to UR0542,DM,,R236B,0
UR24:3,UR0238 to UR0236,UM,,R238,10481
UR24:4,UR0243 to UR0245,DM,,R243,11034
UR24:5,UR0244 to UR0242,UM,,R244,11736
UR24:6,UR0251 to UR0253,DM,,R251A,10109
UR24:7,UR0251 to UR0551,2,,R251B,437
UR24:8,UR0252 to UR0250,UM,,R252,11974
UR25:1,UR0253 to UR0255,DM,,R253,9453
UR25:2,UR0254 to UR0252,UM,,R254A,8472
UR25:3,UR0254 to UR0548,2,,R254B,206
UR25:4,UR0543 to UR0237,DM,,R543A,4
UR25:5,UR0543 to UR0545,UM,,R543B,0
UR25:6,UR0544 to UR0234,UM,,R544A,1
UR25:7,UR0544 to UR0542,DM,,R544B,0
UR25:8,UR0545 to UR0547,UM,,R545,2
UR26:1,UR0547 to UR0557,UM,,R547A,2
UR26:2,UR0547 to UR0555,2,,R547B,0
UR26:3,UR0548 to UR0248,UM,,R548A,517
UR26:4,UR0548 to UR0544,DM,,R548B,0
UR26:5,UR0550 to UR0554,DM,,R550,0
UR26:6,UR0551 to UR0255,DM,,R551A,29
UR26:7,UR0551 to UR0557,UM,,R551B,2
UR26:8,UR0555 to UR0557,UM,,R555,0
UR27:1,UR0556 to UR0548,UM,,R556A,0
UR27:2,UR0556 to UR0550,DM,,R556B,0
UR27:3,UR0233,,,S233,14027
UR27:4,UR0236,,,S236,10317
UR27:5,UR0238,,,S238,10548
UR27:6,UR0243,,,S243,10676
UR27:7,UR0244,,,S244,12804
UR27:8,UR0251,,,S251,10278
UR28:1,UR0252,,,S252,9026
UR28:2,UR0253,,,S253,10353
UR28:3,UR0254,,,S254,9165
UR28:4,UR0543,,,S543,4
UR28:5,UR0544,,,S544,1
UR28:6,UR0545,,,S545,2
UR28:7,UR0547,,,S547,2
UR28:8,UR0548,,,S548,533
UR29:1,UR0550,,,S550,0
UR29:2,UR0551,,,S551,32
UR29:3,UR0555,,,S555,0
UR29:4,UR0556,,,S556,0
UR29:5,UR548 TRTS,,,L548TRS,444
UR29:6,UR551 TRTS,,,L551TRS,0
UR29:7,UR0271 to UR0273,DM,,R271,9601
UR29:8,UR0272 to UR0270,UM,,R272,9172
UR2A:1,UR0273 to UR0275,DM,,R273,11524
UR2A:2,UR0274 to UR0272,UM,,R274,9352
UR2A:3,UR0275 to UR0279,DM,,R275A,11268
UR2A:4,UR0275 to UR0565,UM,,R275B,1
